Date,Throughput,OldThroughput
3/31/2020,146348,2026256
3/30/2020,154080,2360053
3/29/2020,180002,2510294
3/28/2020,184027,2172920
3/27/2020,199644,2538384
3/26/2020,203858,2487162
3/25/2020,239234,2273811
3/24/2020,279018,2151913
3/23/2020,331431,2434370
3/22/2020,454516,2542643
3/21/2020,548132,2227181
3/20/2020,593167,2559307
3/19/2020,620883,2513231
3/18/2020,779631,2320885
3/17/2020,953699,2177929
3/16/2020,1257823,2465709
3/15/2020,1519192,2545742
3/14/2020,1485553,2274658
3/13/2020,1714372,2634215
3/12/2020,1788456,2503924
3/11/2020,1702686,2187298
3/10/2020,1617220,2122898
3/9/2020,1909363,2378673
3/8/2020,2119867,2485430
3/7/2020,1844811,2156262
3/6/2020,2198517,2543689
3/5/2020,2130015,2402692
3/4/2020,1877401,2143619
3/3/2020,1736393,1979558
3/2/2020,2089641,2257920
3/1/2020,2280522,2301439
