Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,109.349998,114.500000,102.500000,113.110001,113.110001,10157400
2020-03-03,114.550003,119.199997,112.110001,117.470001,117.470001,11033700
2020-03-04,118.510002,119.970001,113.110001,116.800003,116.800003,12102600
2020-03-05,110.250000,129.830002,110.000000,125.000000,125.000000,28149400
2020-03-06,119.650002,122.000000,107.000000,114.320000,114.320000,22975700
2020-03-09,105.000000,116.500000,100.879997,113.750000,113.750000,14571300
2020-03-10,113.800003,113.800003,105.000000,108.489998,108.489998,10244000
2020-03-11,108.410004,113.989998,107.000000,110.300003,110.300003,12576700
2020-03-12,106.250000,113.871002,104.389999,109.470001,109.470001,12097900
2020-03-13,113.000000,113.800003,104.160004,107.470001,107.470001,9233500
2020-03-16,105.000000,119.870003,103.199997,107.860001,107.860001,17210700
2020-03-17,107.330002,113.830002,102.000000,111.099998,111.099998,18721500
2020-03-18,111.000000,119.000000,108.849998,118.709999,118.709999,13594300
2020-03-19,122.949997,132.229996,119.099998,123.769997,123.769997,16248400
2020-03-20,129.000000,135.979996,124.000000,130.550003,130.550003,13872600
2020-03-23,141.996994,164.940002,137.250000,159.559998,159.559998,27681500
2020-03-24,154.000000,155.000000,133.880005,135.179993,135.179993,22401300
2020-03-25,140.104996,149.000000,136.199997,138.110001,138.110001,14743000
2020-03-26,140.509995,146.649994,138.199997,141.149994,141.149994,9252700
2020-03-27,145.699997,154.970001,145.600006,151.699997,151.699997,13271900
2020-03-30,160.759995,161.690002,147.199997,150.880005,150.880005,15762200
