AvgSentiment,AvgTopicContrib,NEGATIVE,POSITIVE,NEUTRAL
0.5767174078,0.3540740907,6,11,6
0.4074582424,0.3170656529,4,1,4
0.5486543598,0.3075251877,5,4,1
0.204736717,0.3221268186,12,0,2
0.2001652882,0.3253872613,14,0,1
0.4593477771,0.3253987134,1,0,3
0.0968786478,0.3489872217,1,0,0
0.4191511062,0.2921050489,2,1,0
0.5413957983,0.3296882957,1,1,0
0.2358569279,0.3119402155,3,0,1
0.5124887526,0.3067003091,2,1,0
0.6017478481,0.2838900387,1,2,1
0.4950946867,0.2646223903,0,0,1
0.9069030583,0.3146684915,0,2,0
0.7105920712,0.3056244353,0,1,2
0.7237311602,0.2832775911,0,2,1
0.7981100082,0.2767037451,0,2,0
0.8334293067,0.2899581641,0,2,0
0.6802921891,0.2771902196,0,3,5
0.8344811201,0.2772413194,0,1,0
0.03180491552,0.2667385042,1,0,0
0.4136130288,0.3023524061,3,1,0
0.6059927911,0.2868608713,1,2,2
0.8093940616,0.307320118,0,1,0
0.7758321166,0.3054590523,0,1,0
0.8500492871,0.3091020435,0,2,0
0.6567627092,0.2932075461,0,1,2
