AvgSentiment,AvgTopicContrib,Negative,Positive,Neutral,testPositive,death,totalTested,hospitalizedIncrease,temp,airTravel,zoom
0.4400651435,0.3911798604,358,124,361,40,8,13,833,39.63,2280522,113.11
0.4431974088,0.3867853355,393,152,321,53,11,22,884,43.34,2089641,113.11
0.4215314346,0.3920232385,417,130,327,94,14,47,1173,47.87,1736393,117.47
0.422049795,0.3880563868,430,133,331,209,16,279,1345,47.01,1877401,116.8
0.4409516155,0.3862049284,424,150,325,277,20,407,1413,44.94,2130015,125
0.4490059022,0.3896679295,413,167,348,395,26,679,1472,43.01,2198517,114.32
0.4403677013,0.3816721386,436,162,329,551,27,736,1998,42.4,1844811,114.32
0.4438311216,0.3889522947,408,164,345,734,31,786,2042,44.97,2119867,114.32
0.4578652992,0.3899389164,366,169,370,1054,35,868,2056,48.53,1909363,113.75
0.4460043093,0.38895485,407,161,355,1372,37,1329,2207,48.91,1617220,108.49
0.4652527433,0.3928616981,435,245,252,1764,43,2399,2208,48.93,1702686,110.3
0.4388429955,0.3843051905,423,142,356,2228,51,2686,2248,48.93,1788456,109.47
0.4686877782,0.3791084535,370,177,337,3103,55,4244,2302,48.37,1714372,107.47
0.4676048747,0.3862391086,364,190,323,3858,63,6447,2394,44.66,1485553,107.47
0.4631864714,0.3818418518,391,173,345,4916,76,6580,2514,42.41,1519192,107.47
0.4689215692,0.3825445993,370,181,353,6196,97,14140,2556,41.76,1257823,107.86
0.4605681036,0.3771200037,387,173,357,8387,119,14760,2652,45.17,953699,111.1
0.4565000549,0.3778612383,402,193,327,10963,142,21691,2975,47.41,779631,118.71
0.4708461797,0.3766910635,372,177,382,15160,185,25968,3134,50.09,620883,123.77
0.4653948621,0.3794407025,380,178,356,20936,247,35807,3250,49.6,593167,130.55
0.4629652224,0.384109567,410,189,332,27467,297,45097,3303,44.47,548132,130.55
0.4812771314,0.3790147886,361,206,338,36427,426,46530,3417,42.06,454516,130.55
0.4941926109,0.3778348279,325,216,373,47105,509,55732,3656,45.14,331431,159.56
0.4646215,0.3801857953,393,184,344,57269,706,66589,3711,48.04,279018,135.18
0.4783182068,0.37812034,375,199,350,69558,931,78895,3890,48.12,239234,138.11
0.4669034503,0.3780963418,399,197,327,86867,1208,93073,4141,49.24,203858,141.15
0.5023367298,0.3823131367,331,254,344,105526,1574,96399,4166,52.35,199644,151.7
0.4709759142,0.3808101133,378,199,339,124889,2001,106965,4291,52.63,184027,151.7
0.473285461,0.3823036315,378,205,339,144369,2467,107893,4874,52.45,180002,151.7
0.4707056764,0.3803913923,397,206,313,165587,2983,110627,5102,50.98,154080,150.88
0.4812887345,0.378085789,383,211,337,190061,3803,118642,5643,48.77,146348,150.88
