,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,61.32422211597936,-152.1986744288661,89.10216494845362,10.300515463917524,22.072164948453608,2424.949484536084,16.474226804123713,2804.127835051547,13.855670103092784,855.7175257731949,9.979381443298971,348.9572164948457,13.989690721649485,110.07989690721644,19.664948453608247,137.56237113402062,501.1479381443292,17.423195876288663,4.748453608247423,7.29984536082474,934.2036082474195,23752.577319587628,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,61.243159164921465,-152.1230039748692,85.19434554973823,6.331937172774872,22.87958115183246,2565.0183246073325,16.827225130890053,2512.921465968588,16.539267015706805,698.6251308900515,13.602094240837696,360.7031413612569,14.429319371727749,107.59267015706816,20.47643979057592,145.2994764397905,654.3287958115167,65.04921465968586,53.17905759162304,4.751727748691098,928.0314136125626,13890.052356020942,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,61.161882542328044,-152.10004756190486,82.68211640211642,4.52063492063492,22.73544973544973,2484.598412698415,16.80952380952381,2386.18941798942,17.555555555555557,717.9433862433849,13.370370370370368,365.35132275132287,14.359788359788357,107.91587301587299,20.396825396825395,176.75079365079375,778.5671957671934,10.832275132275138,-1.3037037037037036,3.7169312169312168,927.2592592592564,9534.391534391534,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,61.25697755468749,-152.17203463125009,82.67093750000002,1.7015624999999988,22.59375,2808.892708333335,15.833333333333336,2411.348958333334,18.338541666666668,696.1067708333327,13.234375,365.45364583333344,14.276041666666664,110.40208333333337,20.25520833333333,167.4989583333334,811.9276041666643,8.078645833333331,-3.8671875,2.6167708333333333,948.6276041666633,6765.625,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,61.22157854427082,-151.98537457916674,84.44125000000003,-0.1833333333333335,22.78125,3016.7848958333366,15.276041666666664,2415.910937500002,17.661458333333332,553.5796874999993,13.005208333333336,370.2770833333335,14.375,109.67291666666664,20.276041666666668,160.93906250000003,852.7171874999973,6.704687499999999,-6.034895833333335,2.6177604166666666,938.5093749999968,9619.791666666666,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,61.216601259162296,-152.00395559790584,84.77968586387433,-1.939790575916232,22.743455497382197,3031.686910994768,14.832460732984293,2428.278010471205,17.83769633507853,486.32931937172737,13.157068062827225,361.89581151832476,14.403141361256544,104.12931937172779,20.251308900523558,139.6879581151833,923.3272251308873,4.510471204188481,-7.5727748691099475,2.10151832460733,922.7303664921435,8811.518324607328,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,61.27296878375633,-152.04173980964478,84.1248730964467,-2.7974619289340086,22.461928934010157,3600.436548223357,13.725888324873095,2523.1817258883248,17.228426395939085,467.7994923857865,12.913705583756347,365.9796954314724,14.233502538071065,106.49492385786802,20.03553299492386,161.28223350253813,905.7395939086264,2.680710659898478,-7.785786802030461,0.5203045685279187,920.0507614213167,10182.741116751271,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,61.29993258358972,-152.18314226923087,84.78974358974361,-2.2369230769230755,22.71794871794872,3637.850769230772,13.917948717948716,2491.605641025643,17.184615384615384,471.77846153846093,13.107692307692306,359.29384615384635,14.384615384615385,108.51487179487177,20.27179487179487,180.30666666666679,830.4641025640999,3.577435897435897,-7.8512820512820545,4.117435897435897,929.174358974356,12476.923076923076,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,61.25388772346938,-152.15736108418378,83.8622448979592,1.081122448979592,22.612244897959183,3365.4346938775566,14.16326530612245,2437.9448979591843,17.948979591836732,499.46887755102006,13.015306122448981,357.7535714285717,14.36734693877551,110.03571428571426,20.188775510204078,156.2642857142857,727.1627551020385,110.33622448979588,-6.691836734693875,3.07530612244898,924.6887755102008,10000.0,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,61.27924656751267,-152.22808189086302,83.44720812182742,3.652791878172589,22.751269035533,3095.2350253807176,15.172588832487312,2382.9279187817265,17.634517766497463,531.2025380710654,13.3248730964467,356.0345177664978,14.461928934010153,115.2690355329949,20.167512690355327,162.15228426395942,709.3147208121809,10.142639593908626,-2.8700507614213198,1.548477157360406,925.0944162436516,10015.228426395941,48304,48271,47357,947.0,47537,734.0,4944635.0,96575,10,2020-03-28,1.2863,734002,570641,9,Republican,Republican,AK,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
