,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,33.69098517368422,-111.62838991052631,1051.113157894737,39.20789473684211,22.684210526315788,1076.9000000000003,20.157894736842106,4563.0684210526315,14.052631578947368,884.5210526315793,15.552631578947368,114.07894736842104,20.157894736842106,108.73684210526314,20.157894736842106,113.73157894736843,871.0000000000006,52.752631578947366,27.589473684210528,0.003947368421052632,947.6157894736847,526.3157894736842,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,33.69098517368422,-111.62838991052631,1051.113157894737,42.08947368421053,22.52631578947368,1079.3763157894734,20.0,4558.784210526314,13.63157894736842,879.9315789473686,19.973684210526315,113.99210526315792,20.0,110.17105263157896,19.973684210526315,117.02631578947368,536.8184210526315,53.68157894736842,29.692105263157895,2.6397368421052634,947.6131578947376,7763.157894736842,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,33.69098517368422,-111.62838991052631,1051.113157894737,41.06842105263159,22.605263157894736,1074.7657894736842,20.07894736842105,4565.37894736842,14.078947368421053,888.278947368421,20.07894736842105,114.1605263157895,20.0,109.0342105263158,20.026315789473685,114.23157894736842,870.5947368421057,55.35,28.328947368421048,0.0007894736842105263,947.5842105263164,0.0,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,33.69098517368422,-111.62838991052631,1051.113157894737,43.41842105263157,22.447368421052627,1076.557894736842,19.92105263157895,4569.1789473684175,14.026315789473687,866.9263157894737,19.92105263157895,114.25,19.92105263157895,108.3368421052632,19.815789473684212,139.47894736842107,922.3078947368426,61.45526315789475,29.310526315789474,0.0,973.844736842106,0.0,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,33.69098517368422,-111.62838991052631,1051.113157894737,45.64736842105264,22.552631578947373,1077.7131578947367,20.026315789473685,4568.265789473683,13.86842105263158,866.0421052631576,19.973684210526315,114.27368421052631,20.0,108.52894736842102,19.92105263157895,114.02105263157893,819.4736842105267,63.73947368421052,30.657894736842103,0.0,973.8263157894743,0.0,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,33.69098517368422,-111.62838991052631,1051.113157894737,46.16052631578948,22.447368421052627,1076.1210526315788,19.92105263157895,4568.2,13.973684210526313,866.1973684210526,19.86842105263158,114.16842105263159,19.92105263157895,110.03157894736843,19.86842105263158,115.45526315789476,742.0394736842109,63.54210526315789,31.065789473684212,0.0,999.9000000000008,0.0,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,33.69098517368422,-111.62838991052631,1051.113157894737,46.03947368421054,22.578947368421048,1070.9421052631576,20.05263157894737,4568.249999999999,14.026315789473687,891.9026315789476,20.026315789473685,114.10526315789473,20.05263157894737,109.9,20.0,115.20526315789476,767.6657894736845,62.61842105263157,30.94736842105264,0.0,973.7736842105268,0.0,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,33.69098517368422,-111.62838991052631,1051.113157894737,46.05526315789474,22.552631578947373,1072.7,20.026315789473685,4562.41052631579,14.052631578947368,884.5894736842107,20.0,114.21842105263157,20.0,110.12368421052629,19.94736842105263,117.35,589.4289473684211,62.347368421052636,31.839473684210528,0.0,973.7736842105268,0.0,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,33.69098517368422,-111.62838991052631,1051.113157894737,45.19210526315789,22.52631578947368,1075.0184210526318,20.0,4559.389473684209,14.026315789473687,880.9763157894737,19.84210526315789,114.22105263157894,20.0,110.37105263157892,20.0,117.53684210526316,433.9421052631579,59.10263157894736,32.76578947368421,2.631315789473684,973.7421052631586,368.4210526315789,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,33.69098517368422,-111.62838991052631,1051.113157894737,41.978947368421046,22.605263157894736,1077.8210526315786,20.07894736842105,4561.8499999999985,12.552631578947368,883.9236842105264,20.0,113.63684210526316,20.05263157894737,110.51315789473686,20.026315789473685,117.48157894736843,484.7026315789473,54.68947368421052,30.300000000000008,10.558684210526314,947.46052631579,21078.947368421053,8026,7979,7519,507.0,7470,509.0,21445714.0,16005,72,2020-03-31,64.955,7378494,113594,5,Republican,Both,AZ,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
