,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,35.22659437499999,-92.6512259375,174.85312500000003,39.76875,23.71875,337.665625,22.9375,2139.11875,20.90625,463.03125,18.84375,40.8875,22.96875,36.090625,22.9375,42.828125,541.5124999999998,52.79687499999998,29.921875,3.125625,999.9000000000003,312.5,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,35.2490209090909,-92.5693706060606,171.90000000000003,49.51515151515152,23.24242424242424,343.9363636363636,22.15151515151515,2369.036363636364,15.818181818181818,834.5060606060608,21.87878787878788,38.76666666666667,22.51515151515152,36.46666666666667,22.51515151515152,42.1090909090909,524.9969696969696,54.4969696969697,45.25151515151515,9.102424242424242,999.9000000000003,15757.575757575756,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,35.2490209090909,-92.5693706060606,171.90000000000003,52.70909090909091,23.272727272727273,351.6151515151515,22.03030303030303,2370.854545454545,11.87878787878788,836.7484848484848,22.0,37.284848484848474,22.54545454545455,34.342424242424244,22.424242424242426,39.77575757575758,761.2606060606063,57.46969696969696,48.01212121212122,9.503333333333332,999.9000000000003,52727.272727272735,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,35.22659437499999,-92.6512259375,174.85312500000003,43.07499999999999,23.71875,652.575,22.15625,2143.9968750000007,20.40625,344.0718750000001,22.3125,40.753125,22.96875,37.6125,22.96875,42.96875,233.89375,52.54062499999999,34.453125,3.1656249999999995,999.9000000000003,4375.0,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,35.22659437499999,-92.6512259375,174.85312500000003,42.690625,23.75,341.365625,22.40625,2146.4906249999995,20.96875,346.7375,22.0,40.846875,23.0,35.88125,22.9375,42.98125,478.6062499999999,63.23124999999999,29.046875000000004,3.1246875,999.9000000000003,343.75,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,35.2490209090909,-92.5693706060606,171.90000000000003,44.01515151515152,23.303030303030305,334.6121212121212,22.33333333333333,2381.9757575757576,19.939393939393934,333.91212121212124,21.727272727272727,39.809090909090905,22.57575757575757,33.97272727272727,22.51515151515152,39.99090909090909,880.7909090909094,57.47575757575758,32.057575757575755,0.0,999.9000000000003,6090.909090909091,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,35.2490209090909,-92.5693706060606,171.90000000000003,43.83333333333334,23.33333333333333,330.00606060606066,22.51515151515152,2384.0,19.545454545454547,336.37575757575746,21.78787878787879,39.82121212121211,22.60606060606061,35.309090909090905,22.60606060606061,40.43333333333332,552.9606060606062,57.32727272727274,32.527272727272724,3.03,999.9000000000003,3333.333333333333,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,35.2490209090909,-92.5693706060606,171.90000000000003,44.36666666666667,23.24242424242424,328.95454545454544,22.272727272727273,2386.118181818182,20.21212121212121,338.6636363636364,21.727272727272727,39.966666666666654,22.51515151515152,34.97878787878788,22.484848484848484,41.38181818181819,554.3454545454545,62.96363636363637,30.53030303030303,3.03,999.9000000000003,333.3333333333333,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,35.22832264705882,-92.61740382352941,176.51764705882354,52.49411764705882,22.85294117647059,333.38235294117635,22.147058823529417,2605.120588235295,17.735294117647058,351.8794117647059,21.11764705882353,38.8,22.147058823529417,38.39117647058824,22.088235294117645,43.785294117647055,166.84705882352938,60.00882352941176,46.04117647058825,17.645294117647058,999.9000000000003,9412.64705882353,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,35.22832264705882,-92.61740382352941,176.51764705882354,61.85,23.323529411764714,643.0588235294118,21.911764705882355,2600.9264705882347,13.176470588235292,553.2029411764706,22.117647058823533,38.188235294117646,22.617647058823533,38.0735294117647,22.617647058823533,44.08529411764707,81.11176470588236,66.57647058823532,57.326470588235296,14.863529411764706,999.9000000000003,15595.0,1314,1309,1305,9.0,1305,4.0,1791631.0,2623,52,,58.403,3038999,52035,15,Republican,Republican,AR,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
