,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,39.14126403124999,-105.73309795312497,2061.69703125,24.35156250000001,23.859375,947.203125,21.609375,5787.246875000003,10.421875,813.2734375000003,16.171875,133.1609375,20.828125,100.75156249999998,21.453125,110.29843749999998,425.78906250000017,38.071875,11.378125,21.87671875,953.1156250000008,21000.15625,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,39.14126403124999,-105.73309795312497,2061.69703125,27.034375,23.59375,951.8015625000003,21.34375,5784.507812500003,9.734375,811.7031249999999,20.609375,148.27499999999995,19.953125,130.8328125,20.421875,138.4234375,421.42343750000015,37.61718750000001,15.9296875,18.7865625,984.3078125000011,11296.875,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,39.13662806349205,-105.70690379365077,2043.119206349206,23.522222222222208,23.714285714285715,962.9063492063492,21.428571428571427,5724.295238095238,10.936507936507935,822.4015873015875,20.61904761904762,151.1206349206349,20.285714285714285,101.51428571428572,20.746031746031747,107.66031746031744,520.5174603174605,36.80793650793649,13.2015873015873,6.353492063492062,968.2079365079376,3317.4603174603176,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,39.14695076190476,-105.69605188888886,2069.2938095238087,27.87619047619048,23.380952380952376,965.8285714285713,21.095238095238095,5727.220634920636,11.158730158730158,824.8222222222224,20.238095238095237,135.60158730158727,20.03174603174603,100.95396825396824,20.984126984126984,107.60634920634921,613.9317460317462,203.43015873015872,14.419047619047621,3.175396825396825,968.2079365079376,1634.9206349206352,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,39.14695076190476,-105.69605188888886,2069.2938095238087,29.47460317460317,23.841269841269842,963.7968253968254,21.555555555555557,5727.246031746035,11.0,825.6015873015875,20.682539682539684,135.64285714285714,20.793650793650798,103.86031746031746,21.444444444444443,113.61111111111113,355.73333333333335,43.79841269841268,16.160317460317458,3.1749206349206345,984.04761904762,3222.3809523809527,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,39.14695076190476,-105.69605188888886,2069.2938095238087,25.285714285714285,23.825396825396822,961.0142857142857,21.53968253968254,5727.2000000000035,10.809523809523812,824.5746031746032,20.714285714285715,135.19206349206348,20.38095238095238,105.05714285714286,20.96825396825397,115.9063492063492,280.3063492063492,37.350793650793655,13.45873015873016,12.70015873015873,984.04761904762,9746.190476190475,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,39.14695076190476,-105.69605188888886,2069.2938095238087,27.907936507936512,23.968253968253972,960.5063492063492,21.682539682539684,5728.034920634922,11.38095238095238,826.1111111111113,20.873015873015877,135.84603174603174,20.857142857142858,102.16507936507936,21.52380952380953,109.63333333333333,538.1222222222225,202.0873015873016,15.02222222222222,4.7634920634920634,984.04761904762,190.47619047619045,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,39.14074840624999,-105.68283232812496,2069.99234375,28.8890625,23.78125,946.9796875,21.53125,5648.085937500003,11.203125,821.0843750000003,20.578125,133.76093749999998,20.78125,100.00468749999996,21.53125,107.28281249999998,452.51718750000015,45.02500000000001,16.035937500000006,3.125,984.2953125000008,1609.375,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,39.14074840624999,-105.68283232812496,2069.99234375,28.040625,23.890625,948.1765625000003,21.640625,5644.875000000003,10.796875,816.1187500000003,20.40625,133.1953125,20.578125,101.390625,21.234375,109.7796875,346.43125000000015,40.823437499999976,16.609375,15.62453125,984.2953125000008,5000.0,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,39.14074840624999,-105.68283232812496,2069.99234375,22.487499999999994,23.71875,949.5765625,21.46875,5648.540625000002,9.6875,819.8875,20.3125,148.11718749999997,20.34375,99.62343749999998,20.828125,108.0671875,328.5750000000001,33.08750000000001,12.798437500000002,26.568281249999995,984.2953125000008,14921.875,13004,12684,12346,658.0,12061,623.0,30247974.0,25688,55,2020-03-26,56.4011,5845526,103642,-1,Democratic,Both,CO,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
