,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,39.171494,-75.426974,12.919999999999998,42.56,23.4,4016.36,14.2,1008.68,23.4,404.3,12.4,405.96,14.2,7.94,23.4,15.82,413.18,48.06,36.32,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,39.171494,-75.426974,12.919999999999998,38.86,23.4,4016.88,14.4,1014.78,23.4,407.64,14.4,405.86,14.4,3.7,23.4,9.64,803.92,54.06,27.74,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,39.171494,-75.426974,12.919999999999998,48.62,23.6,4026.16,14.4,1010.84,22.2,405.24,14.2,405.44,14.4,5.32,23.6,10.42,804.12,51.66,44.92,0.108,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,39.171494,-75.426974,12.919999999999998,51.64,23.6,4030.78,14.4,1005.6,19.0,402.26,14.4,402.54,14.4,3.6,23.6,10.76,804.94,56.96,45.86,0.09,999.9,66000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,39.171494,-75.426974,12.919999999999998,42.2,24.0,4017.38,14.4,1011.02,23.6,405.36,14.4,405.82,14.4,14.939999999999998,24.0,22.64,418.0,54.6,37.38,0.16,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,39.171494,-75.426974,12.919999999999998,40.17999999999999,24.0,4015.74,14.4,1016.66,24.0,408.7600000000001,14.4,405.96,14.4,5.88,24.0,14.24,412.36,52.02,31.64,0.002,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,39.15680054999999,-75.42803388333333,11.6,38.0,20.666666666666668,3350.7333333333336,12.666666666666664,1017.45,20.5,507.43333333333334,12.0,504.75,12.0,4.15,20.5,9.333333333333334,999.9,48.7,30.91666666666667,0.04166666666666666,999.9,5000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,39.171494,-75.426974,12.919999999999998,36.94,23.8,4016.76,14.4,1017.2,22.6,408.94,14.4,405.44,14.4,11.64,23.8,23.040000000000006,418.7600000000001,45.4,29.8,0.096,999.9,26400.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,39.171494,-75.426974,12.919999999999998,30.76,23.4,4007.82,14.2,1037.48,23.4,421.22,14.0,405.96,14.2,7.74,23.4,15.44,804.3199999999998,42.42,24.96,0.008,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,39.171494,-75.426974,12.919999999999998,42.3,24.0,4019.94,14.4,1036.14,23.6,420.34,14.4,405.96,14.4,5.2,24.0,13.96,413.96,60.1,26.44,0.0,999.9,2000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,39.171494,-75.426974,12.919999999999998,58.26000000000001,22.0,4030.26,14.2,1026.32,22.0,414.4,14.2,405.96,14.2,8.360000000000001,22.0,16.860000000000007,418.0,70.03999999999999,48.94,0.0,999.9,2000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,39.171494,-75.426974,12.919999999999998,65.76000000000002,23.6,4032.46,14.4,1018.66,21.8,409.82,14.4,405.9,14.4,13.36,23.6,22.04,424.56000000000006,70.64,53.96,0.066,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,39.171494,-75.426974,12.919999999999998,47.66,22.0,4024.96,14.4,1028.1,21.4,415.58,14.4,405.88,14.4,4.68,22.0,9.6,999.9,57.08,43.24,0.06999999999999999,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
13,13,2020-01-14,39.171494,-75.426974,12.919999999999998,43.76000000000001,23.4,4025.5,14.4,1025.54,20.8,414.06,14.4,403.34,14.4,3.4,23.4,7.2,999.9,49.66,39.2,0.014000000000000002,999.9,46000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
14,14,2020-01-15,39.171494,-75.426974,12.919999999999998,46.88,23.8,4025.82,14.4,1021.7,21.2,411.82,14.4,403.44,14.4,4.34,23.8,9.6,999.9,53.74,39.12000000000001,0.034,999.9,40000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
15,15,2020-01-16,39.171494,-75.426974,12.919999999999998,48.5,24.0,4021.06,14.4,1016.78,23.4,408.78,14.4,405.22,14.4,9.52,24.0,25.640000000000004,421.8,54.8,43.02,0.0,999.9,2000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
16,16,2020-01-17,39.171494,-75.426974,12.919999999999998,33.779999999999994,23.2,4007.3,14.2,1033.3200000000004,23.2,418.94000000000005,14.2,405.96,14.2,11.7,23.2,23.02,418.94,50.46,27.880000000000006,0.0,999.9,2000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
17,17,2020-01-18,39.171494,-75.426974,12.919999999999998,29.06,24.0,4009.14,14.4,1033.94,22.6,418.48,14.2,405.54,14.4,4.540000000000001,24.0,12.2,803.5400000000002,36.44,23.579999999999995,19.998,999.9,6400.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
18,18,2020-01-19,39.171494,-75.426974,12.919999999999998,41.02,24.0,4019.64,14.4,1010.6,22.6,405.04,14.4,405.66,14.4,9.1,24.0,21.6,417.12,45.46,27.6,0.152,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
19,19,2020-01-20,39.171494,-75.426974,12.919999999999998,28.779999999999994,24.0,4006.56,14.4,1023.46,24.0,412.92,14.4,405.96,14.4,9.84,24.0,18.8,414.75999999999993,41.21999999999999,24.08,0.008,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
20,20,2020-01-21,39.171494,-75.426974,12.919999999999998,27.34,23.6,4005.32,14.4,1031.0,23.6,417.34,14.4,405.96,14.4,7.2,23.6,15.580000000000002,410.95999999999987,35.4,20.52,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
21,21,2020-01-22,39.171494,-75.426974,12.919999999999998,29.18,21.8,4009.42,12.6,1031.7400000000002,21.8,417.7600000000001,12.6,405.96,12.6,3.4799999999999995,21.8,7.88,999.9,38.46,22.04,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
22,22,2020-01-23,39.2919325,-75.443085,12.65,32.075,23.75,5009.975,12.0,1029.95,23.75,513.85,12.0,504.875,12.0,1.3250000000000002,23.75,5.0,999.9,41.675,22.35,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
23,23,2020-01-24,39.2919325,-75.443085,12.65,39.55,23.75,5015.15,12.0,1026.5500000000004,23.5,512.15,12.0,504.9,12.0,4.425,23.75,12.25,754.45,50.05,28.65,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
24,24,2020-01-25,39.171494,-75.426974,12.919999999999998,48.88,22.0,4027.8,12.2,1013.68,18.6,406.44,12.4,404.8,12.4,8.559999999999999,22.0,20.18,416.16,54.9,44.5,0.32799999999999996,999.9,26000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
25,25,2020-01-26,39.171494,-75.426974,12.919999999999998,43.26000000000001,23.8,4019.86,14.4,1011.48,23.8,405.68,14.4,405.96,14.4,4.959999999999999,23.8,11.76,410.58,52.7,37.18,0.7140000000000001,999.9,2000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
26,26,2020-01-27,39.171494,-75.426974,12.919999999999998,41.0,24.0,4017.46,14.4,1009.22,24.0,404.3,14.4,405.96,14.4,4.86,24.0,11.94,411.4,48.52,33.98,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
27,27,2020-01-28,39.171494,-75.426974,12.919999999999998,41.24,23.8,4016.76,14.4,1011.12,23.8,405.52,14.4,405.96,14.4,7.4,23.6,14.96,410.8,46.2,35.3,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
28,28,2020-01-29,39.171494,-75.426974,12.919999999999998,39.84,23.6,4013.68,14.4,1017.68,22.2,409.45999999999987,14.4,405.96,14.4,6.48,23.6,15.0,411.38,44.44,36.44,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
29,29,2020-01-30,39.171494,-75.426974,12.919999999999998,33.9,23.8,4012.52,14.2,1024.1,23.8,413.08,12.6,405.96,14.2,4.56,23.8,9.56,803.34,43.54,26.52,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
30,30,2020-01-31,39.171494,-75.426974,12.919999999999998,37.82000000000001,23.8,4018.36,14.4,1025.7,23.2,414.2,13.6,405.94,14.4,3.1,23.8,7.2200000000000015,999.9,46.76000000000001,28.22000000000001,19.998,999.9,4000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
31,31,2020-02-01,39.171494,-75.426974,12.919999999999998,40.040000000000006,24.0,4022.339999999999,14.4,1015.8,21.2,407.56000000000006,12.4,403.76,14.4,2.44,24.0,7.4,999.9,46.68,30.02,0.022,999.9,44000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
32,32,2020-02-02,39.171494,-75.426974,12.919999999999998,40.2,23.8,4021.04,14.2,1004.66,21.8,401.46,14.2,404.6,14.2,5.2799999999999985,23.8,12.78,608.3399999999998,46.6,33.959999999999994,0.062,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
33,33,2020-02-03,39.171494,-75.426974,12.919999999999998,45.74,24.0,4021.22,14.4,1008.2,24.0,403.78,14.4,405.7600000000001,14.4,3.3,24.0,7.76,999.9,62.98,33.22,0.006,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
34,34,2020-02-04,39.171494,-75.426974,12.919999999999998,54.48,23.6,4026.339999999999,14.4,1010.2,23.6,404.86,14.4,405.96,14.4,3.98,23.6,8.76,999.9,67.17999999999999,41.54,0.004,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
35,35,2020-02-05,39.171494,-75.426974,12.919999999999998,47.38,23.6,4024.5,14.4,1013.26,22.4,406.84,14.4,405.52,14.4,5.76,23.6,14.78,608.14,64.3,39.16,0.03,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
36,36,2020-02-06,39.171494,-75.426974,12.919999999999998,42.1,23.6,4024.18,14.4,1006.18,19.8,402.36,14.4,403.42,14.4,4.3199999999999985,23.6,11.36,802.72,49.02,38.44000000000001,0.156,999.9,26000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
37,37,2020-02-07,39.171494,-75.426974,12.919999999999998,49.32,23.6,4026.4,14.4,991.6,21.2,993.6,14.4,404.62,14.4,10.12,23.6,27.82,427.78,60.56,40.94,0.494,999.9,26000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
38,38,2020-02-08,39.171494,-75.426974,12.919999999999998,37.54,23.6,4012.26,14.4,1018.66,23.6,410.22,14.4,405.96,14.4,7.26,23.6,15.6,417.36,43.96,31.160000000000004,0.07200000000000001,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
39,39,2020-02-09,39.171494,-75.426974,12.919999999999998,37.14,22.6,4015.18,13.0,1030.2999999999997,22.4,416.88,13.0,405.96,13.0,2.94,22.6,8.559999999999999,999.9,47.74,29.360000000000007,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
40,40,2020-02-10,39.171494,-75.426974,12.919999999999998,44.74,24.0,4022.44,14.4,1024.48,22.8,413.52,14.4,405.84,14.4,8.260000000000002,24.0,15.62,415.58,51.9,35.1,0.026,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
41,41,2020-02-11,39.171494,-75.426974,12.919999999999998,51.1,23.6,4030.62,14.4,1014.9,20.6,407.82,14.4,403.78,14.4,4.1800000000000015,23.6,10.4,999.9,56.2,42.06,0.25999999999999995,999.9,26000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
42,42,2020-02-12,39.171494,-75.426974,12.919999999999998,44.60000000000001,24.0,4018.5,14.4,1020.24,23.6,410.9,14.4,405.96,14.4,5.659999999999998,24.0,14.2,609.36,53.88,39.06,0.21600000000000005,999.9,4000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
43,43,2020-02-13,39.171494,-75.426974,12.919999999999998,46.28,24.0,4026.82,14.4,1008.9,20.8,404.08,14.4,404.12,14.4,5.500000000000001,24.0,14.2,414.16,56.58,38.42,0.134,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
44,44,2020-02-14,39.171494,-75.426974,12.919999999999998,38.52,24.0,4013.8,14.4,1021.74,23.8,411.86,14.4,405.96,14.4,9.02,24.0,19.380000000000006,415.54,53.14,30.14,0.094,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
45,45,2020-02-15,39.171494,-75.426974,12.919999999999998,26.620000000000005,21.0,4005.52,11.4,2828.7,19.2,419.7,11.4,405.96,11.4,5.9,21.0,14.419999999999998,999.9,36.62,19.86,0.0,999.9,200.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
46,46,2020-02-16,39.171494,-75.426974,12.919999999999998,36.06,23.8,4015.78,14.2,1024.36,22.8,413.4,14.2,405.96,14.2,4.16,23.8,8.540000000000001,999.9,49.16,22.56,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
47,47,2020-02-17,39.171494,-75.426974,12.919999999999998,43.02,24.0,4018.22,14.4,1022.58,24.0,412.34,14.4,405.96,14.4,3.5200000000000005,24.0,9.78,999.9,51.22000000000001,32.5,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
48,48,2020-02-18,39.15680054999999,-75.42803388333333,11.6,48.46666666666666,20.666666666666668,3360.2166666666667,12.666666666666664,1022.7333333333332,20.33333333333333,510.4,12.0,504.8,12.0,4.133333333333333,20.666666666666668,9.733333333333334,836.2666666666665,61.85,38.566666666666656,0.0,999.9,1666.666666666667,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
49,49,2020-02-19,39.171494,-75.426974,12.919999999999998,48.66,23.8,4018.64,14.2,1022.0800000000003,23.8,412.12,14.2,405.96,14.2,6.62,23.8,16.580000000000002,412.98,60.82000000000001,38.02,0.01,999.9,4000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
50,50,2020-02-20,39.171494,-75.426974,12.919999999999998,35.91999999999999,23.8,4010.7,14.2,1030.4600000000003,23.8,417.02,14.2,405.96,14.2,4.040000000000001,23.8,11.0,999.9,49.58,30.1,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
51,51,2020-02-21,39.171494,-75.426974,12.919999999999998,30.32,24.0,4006.3,14.4,1031.8,24.0,417.8,14.4,405.96,14.4,11.4,24.0,19.42,608.3399999999998,37.62,23.04,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
52,52,2020-02-22,39.171494,-75.426974,12.919999999999998,35.36,23.8,4006.88,14.2,1028.2400000000002,23.6,415.6,14.2,405.96,14.2,6.14,23.8,12.38,803.3399999999998,50.42,22.68,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
53,53,2020-02-23,39.171494,-75.426974,12.919999999999998,40.2,23.8,4012.14,14.4,1023.8,23.8,412.98,14.4,405.96,14.4,4.0600000000000005,23.8,10.62,999.9,55.34,25.94,0.0,999.9,0.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
54,54,2020-02-24,39.171494,-75.426974,12.919999999999998,44.34,24.0,4019.42,14.4,1017.9,23.8,409.44,14.4,405.58,14.4,4.2,24.0,11.18,803.3399999999998,59.42,29.74,0.0,999.9,20000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
55,55,2020-02-25,39.171494,-75.426974,12.919999999999998,47.90000000000001,24.0,4027.32,14.4,1012.36,19.4,405.94,14.4,403.68,14.4,4.54,24.0,9.8,999.9,53.16,42.44000000000001,0.046,999.9,6000.0,41,33,36,5.0,22,11.0,319.0,74,8,2020-03-24,504.3073,982895,1949,-6,Democratic,Democratic,DE,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
