,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,28.216879114285714,-82.39619907731094,12.864873949579835,58.82436974789917,22.92436974789916,2303.009243697477,17.638655462184875,3056.3773109243707,17.672268907563023,355.37731092436997,12.680672268907564,300.8487394957985,15.974789915966387,37.70336134453782,21.932773109243694,58.644537815126,983.3378151260484,69.14117647058825,50.98403361344538,0.0,999.899999999998,168.06722689075633,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,28.22658478474576,-82.39582508644068,12.924745762711868,65.45254237288138,23.084745762711865,2330.865254237288,17.728813559322035,2996.299999999999,17.737288135593218,349.01186440678003,15.118644067796609,303.35932203389837,16.059322033898304,39.29067796610168,22.15254237288136,53.571186440677955,759.0347457627113,77.26864406779661,55.19576271186443,2.5438983050847463,999.899999999998,1101.6949152542372,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,28.22658478474576,-82.39582508644068,12.924745762711868,73.70169491525427,23.04237288135593,2340.995762711864,17.54237288135593,2995.1593220339,16.389830508474578,348.16864406779683,14.872881355932204,302.812711864407,15.898305084745765,42.79830508474579,22.220338983050848,56.814406779661006,428.0423728813561,81.24237288135589,65.578813559322,0.8760169491525424,999.899999999998,7288.389830508475,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,28.245657919658107,-82.40200711282053,13.022222222222226,71.6179487179487,22.923076923076927,2358.333333333333,17.35042735042735,3166.626495726497,15.683760683760687,351.6333333333336,14.564102564102564,305.56324786324814,15.82905982905983,43.43333333333332,22.13675213675214,59.735042735042775,358.82222222222236,78.47008547008545,65.51282051282053,16.312564102564107,999.899999999998,10769.57264957265,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,28.245657919658107,-82.40200711282053,13.022222222222226,57.27692307692306,23.042735042735046,2338.553846153845,17.46153846153846,3172.7470085470113,17.60683760683761,356.86837606837634,14.589743589743591,305.9094017094019,15.692307692307693,43.12564102564101,22.196581196581203,58.09743589743589,482.60769230769273,68.10769230769228,47.409401709401685,0.10692307692307693,999.899999999998,512.8205128205128,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,28.216879114285714,-82.39619907731094,12.864873949579835,55.078151260504185,22.94117647058824,2301.3966386554616,17.462184873949578,3060.6369747899153,17.361344537815125,350.8092436974792,14.789915966386554,300.93949579831946,15.697478991596636,29.78571428571429,22.07563025210084,42.23697478991596,909.0075630252086,68.05378151260507,45.05714285714284,8.403361344537815e-05,999.899999999998,2773.109243697479,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,28.216879114285714,-82.39619907731094,12.864873949579835,59.327731092436984,23.35294117647059,2305.425210084033,17.865546218487395,3058.936974789917,17.336134453781508,349.39579831932815,15.159663865546216,301.0092436974792,16.19327731092437,30.136974789915968,22.655462184873947,45.10924369747898,546.5420168067232,71.17647058823529,48.35882352941179,1.6805882352941175,999.899999999998,5294.117647058823,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,28.216879114285714,-82.39619907731094,12.864873949579835,58.08487394957984,23.210084033613445,2301.79075630252,17.907563025210084,3062.917647058824,17.899159663865547,352.81764705882375,15.201680672268909,300.98319327731105,16.243697478991596,31.555462184873964,22.512605042016805,45.28487394957983,678.0403361344535,69.64201680672271,47.04285714285717,8.403361344537815e-05,999.899999999998,840.3361344537815,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,28.21507300508474,-82.3939634762712,12.973898305084749,62.44661016949157,23.237288135593218,2326.242372881355,17.822033898305087,3081.6550847457647,17.52542372881356,348.71779661016984,15.033898305084744,295.08813559322056,16.25423728813559,34.43050847457627,22.59322033898305,49.826271186440685,354.7432203389833,75.41440677966109,50.833898305084766,0.0,999.899999999998,1779.6610169491526,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,28.21507300508474,-82.3939634762712,12.973898305084749,70.02118644067797,23.322033898305087,2250.8991525423726,18.067796610169488,3079.744915254239,17.050847457627118,347.1423728813562,15.305084745762713,303.29915254237306,16.228813559322035,35.83389830508472,22.69491525423729,49.64406779661017,362.4618644067799,77.43813559322031,62.94830508474576,1.6955084745762712,999.899999999998,1694.9152542372879,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,28.195686164957266,-82.35302869145298,12.76,73.58717948717948,22.16239316239316,2274.805982905981,17.54700854700855,3094.159829059831,15.205128205128204,347.24358974359006,15.094017094017095,296.83589743589766,16.034188034188034,37.094017094017076,21.41025641025641,52.37435897435899,318.39230769230784,79.81196581196578,67.97008547008546,6.877008547008545,999.899999999998,8547.948717948719,30530,30944,23235,7295.0,23409,7535.0,79297505.0,61474,214,2020-04-03,410.1256,21992985,53625,2,Republican,Republican,FL,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
