,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,32.713853876470594,-83.38998756323527,156.50235294117647,46.125,23.838235294117645,909.0308823529413,21.779411764705888,6565.0897058823575,8.926470588235292,484.8073529411766,17.029411764705884,111.8235294117647,21.426470588235293,62.807352941176454,22.426470588235293,81.84117647058821,681.7014705882358,59.01617647058823,35.838235294117645,0.0,999.9000000000008,0.0,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,32.713853876470594,-83.38998756323527,156.50235294117647,49.31323529411765,23.926470588235286,918.4897058823532,21.867647058823533,6564.827941176474,8.264705882352942,484.0176470588237,20.808823529411768,111.20735294117644,21.514705882352942,60.82941176470587,22.514705882352942,67.26176470588234,797.5985294117654,60.81029411764707,39.78088235294118,29.457647058823532,999.9000000000008,6324.264705882353,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,32.713853876470594,-83.38998756323527,156.50235294117647,62.63235294117647,23.926470588235286,935.335294117647,21.558823529411764,6563.227941176476,6.705882352941178,554.1705882352941,20.69117647058824,109.99558823529414,21.47058823529412,64.25735294117645,22.514705882352942,70.93676470588231,252.16029411764708,72.35147058823532,52.11176470588235,29.68661764705882,999.9000000000008,27059.11764705882,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,32.713853876470594,-83.38998756323527,156.50235294117647,61.05441176470589,23.764705882352942,931.642647058824,21.22058823529412,6563.550000000002,7.029411764705883,525.2750000000002,20.61764705882353,111.00588235294121,21.323529411764707,65.39411764705882,22.323529411764707,75.3088235294118,126.88235294117644,68.525,52.151470588235284,44.50102941176468,999.9000000000008,14558.823529411766,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,32.713853876470594,-83.38998756323527,156.50235294117647,44.68676470588237,23.867647058823533,908.5058823529413,21.75,6567.8382352941235,8.897058823529411,431.85,20.61764705882353,111.87205882352941,21.279411764705888,66.00882352941174,22.426470588235293,75.07647058823531,155.2941176470588,59.09411764705882,34.16323529411764,4.466029411764705,999.9000000000008,588.2352941176471,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,32.713853876470594,-83.38998756323527,156.50235294117647,46.864705882352936,23.89705882352941,914.2411764705881,21.779411764705888,6567.157352941181,8.764705882352942,474.54852941176483,20.705882352941178,111.80588235294115,21.426470588235293,61.492647058823536,22.485294117647058,80.62058823529412,884.0426470588243,64.84264705882352,34.57205882352941,0.0,999.9000000000008,1470.5882352941173,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,32.713853876470594,-83.38998756323527,156.50235294117647,51.66911764705884,23.911764705882355,918.7926470588237,21.808823529411764,6565.780882352946,8.411764705882353,471.635294117647,20.72058823529412,111.67058823529408,21.44117647058824,64.15147058823526,22.455882352941174,73.47647058823529,138.35147058823532,63.38676470588236,40.013235294117656,19.120441176470585,999.9000000000008,5294.117647058823,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,32.713853876470594,-83.38998756323527,156.50235294117647,47.01176470588236,23.970588235294123,907.6602941176468,21.852941176470583,6569.0544117647105,9.058823529411764,390.41323529411767,20.808823529411768,111.79999999999998,21.514705882352942,62.600000000000016,22.558823529411764,67.23529411764703,739.5058823529417,63.227941176470566,32.616176470588215,0.001176470588235294,999.9000000000008,0.0,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,32.713853876470594,-83.38998756323527,156.50235294117647,46.895588235294106,23.676470588235286,913.6352941176469,21.588235294117645,6570.7000000000035,8.25,335.25882352941176,20.38235294117647,111.67058823529408,21.235294117647054,61.99705882352941,22.25,70.18088235294121,235.1397058823529,66.91617647058824,32.070588235294125,1.4704411764705885,999.9000000000008,2955.8823529411766,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,32.713853876470594,-83.38998756323527,156.50235294117647,60.14705882352943,23.985294117647058,927.6970588235297,21.882352941176467,6569.816176470592,8.720588235294116,348.3735294117646,20.764705882352946,111.83382352941177,21.529411764705888,63.93970588235295,22.573529411764714,69.2470588235294,494.70294117647086,70.40735294117646,52.28529411764707,13.233970588235294,999.9000000000008,2352.9411764705883,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,32.713853876470594,-83.38998756323527,156.50235294117647,66.63235294117646,23.617647058823533,938.8661764705882,21.661764705882355,6566.79852941177,7.0,474.0367647058825,20.558823529411768,110.93970588235297,21.294117647058822,66.44264705882358,22.014705882352942,74.66470588235293,113.03529411764706,73.55735294117648,58.379411764705885,42.68191176470586,999.9000000000008,13826.470588235294,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,32.67973237878789,-83.38970521666666,155.09333333333333,64.2090909090909,23.75757575757576,812.5636363636362,21.87878787878788,6599.6439393939445,6.909090909090909,443.8818181818182,20.83333333333333,98.20151515151514,21.59090909090909,64.23484848484846,22.09090909090909,73.0606060606061,260.6242424242424,72.9378787878788,55.20454545454545,45.87030303030301,999.9000000000011,52429.84848484849,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,32.699632791044785,-83.40774857164178,157.50985074626863,64.67462686567166,23.686567164179106,951.8686567164183,21.432835820895523,6651.607462686571,6.223880597014926,395.320895522388,20.73134328358209,95.17014925373131,21.611940298507466,61.682089552238786,22.253731343283587,66.32388059701495,955.7985074626877,71.7402985074627,58.9686567164179,29.972686567164182,999.9000000000008,58659.850746268654,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
13,13,2020-01-14,32.699632791044785,-83.40774857164178,157.50985074626863,64.88805970149254,23.746268656716413,952.0597014925373,21.373134328358212,6650.997014925376,6.149253731343284,423.9582089552238,20.86567164179105,95.05671641791044,21.64179104477612,62.02686567164175,22.31343283582089,69.1417910447761,619.1104477611942,72.06417910447763,59.18059701492538,25.603731343283577,999.9000000000008,77315.82089552237,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
14,14,2020-01-15,32.699632791044785,-83.40774857164178,157.50985074626863,64.42985074626867,23.731343283582092,950.7179104477613,21.46268656716418,6515.731343283586,7.373134328358209,466.5805970149254,20.88059701492537,97.00447761194029,21.611940298507466,61.67462686567164,22.298507462686572,66.76567164179103,926.4298507462697,74.4820895522388,57.77761194029849,28.494925373134325,999.9000000000008,59104.477611940296,10801,10759,9385,1416.0,9309,1450.0,46973055.0,21560,111,2020-04-03,186.6719,10736059,57513,5,Republican,Republican,GA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
