,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,21.151538177272727,-157.95974242272723,289.56363636363636,71.04545454545455,22.72727272727273,3674.363636363636,14.363636363636365,2243.218181818182,19.318181818181817,497.84090909090895,10.727272727272727,369.9818181818181,14.409090909090908,97.32727272727271,20.5,103.90909090909088,556.1045454545455,78.30000000000003,63.92727272727273,0.011363636363636364,999.9,1363.6363636363635,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,21.151538177272727,-157.95974242272723,289.56363636363636,70.16818181818184,21.681818181818183,3675.927272727272,13.136363636363635,2242.0954545454542,17.90909090909091,497.12727272727267,12.772727272727273,369.84545454545446,13.363636363636365,95.76818181818182,19.40909090909091,101.04545454545456,866.2909090909093,77.60000000000002,62.95,0.01681818181818182,999.9,2272.7272727272725,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,21.2178019,-158.0743201571428,217.71904761904761,71.55714285714286,23.285714285714285,3850.290476190476,13.952380952380953,2302.3142857142857,17.857142857142858,482.7238095238095,12.809523809523812,386.8047619047618,14.333333333333336,103.79523809523809,20.952380952380953,110.13333333333334,629.3761904761902,77.55714285714286,64.99523809523811,4.845714285714284,999.9,5714.285714285716,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,21.2178019,-158.0743201571428,217.71904761904761,72.44285714285714,23.23809523809524,4324.371428571429,13.190476190476188,2303.9761904761913,17.61904761904762,483.91428571428565,13.0,386.64285714285705,14.333333333333336,103.48571428571431,20.904761904761905,108.74285714285715,628.8809523809522,77.6047619047619,67.86666666666667,4.825714285714286,999.9,4761.904761904762,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,21.2178019,-158.0743201571428,217.71904761904761,73.14761904761906,23.42857142857143,3851.4380952380952,14.047619047619047,2304.342857142857,18.857142857142858,484.12380952380965,13.142857142857142,386.84285714285693,14.238095238095234,103.27142857142859,21.095238095238095,108.6095238095238,628.6476190476191,78.88095238095241,69.26190476190476,0.15142857142857144,999.9,2857.142857142857,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,21.151538177272727,-157.95974242272723,289.56363636363636,72.94090909090909,22.681818181818183,3676.527272727272,13.954545454545455,2652.877272727273,18.454545454545453,498.79090909090894,13.227272727272727,369.8272727272727,13.954545454545455,101.40909090909092,20.454545454545453,108.17727272727274,470.0454545454545,78.01818181818182,68.60909090909092,0.15,999.9,2272.7272727272725,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,21.151538177272727,-157.95974242272723,289.56363636363636,72.57272727272728,22.59090909090909,3676.9318181818176,13.818181818181818,2652.6181818181813,18.09090909090909,498.5863636363636,12.863636363636365,369.90454545454537,13.818181818181818,101.9590909090909,20.272727272727273,108.95454545454544,471.4863636363636,78.13636363636365,67.81818181818181,4.6154545454545435,999.9,3636.363636363637,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,21.151538177272727,-157.95974242272723,289.56363636363636,71.40454545454544,23.40909090909091,3675.940909090909,14.727272727272727,2242.6954545454546,18.90909090909091,497.39090909090896,13.863636363636365,369.89090909090896,14.727272727272727,102.44999999999996,21.181818181818183,108.80909090909093,382.51818181818186,77.38181818181819,66.29545454545455,4.641363636363637,999.9,4545.454545454545,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,21.151538177272727,-157.95974242272723,289.56363636363636,71.16818181818181,22.95454545454545,3676.072727272727,14.772727272727273,2241.8681818181813,18.90909090909091,496.89090909090913,13.727272727272727,369.75,14.727272727272727,101.37727272727274,20.727272727272727,108.2181818181818,515.7409090909089,77.47272727272728,66.07272727272726,4.680909090909091,999.9,4090.909090909091,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,21.151538177272727,-157.95974242272723,289.56363636363636,71.58181818181819,23.04545454545455,3677.7,14.454545454545455,2239.868181818182,18.09090909090909,540.9272727272727,12.454545454545455,369.55454545454535,14.454545454545455,102.32272727272728,20.818181818181817,108.49545454545456,516.0181818181817,76.52727272727272,66.79545454545455,4.764545454545455,999.9,4545.454545454545,3422,3534,2843,579.0,2795,739.0,15282643.0,6956,14,2020-03-25,219.9419,1412687,6423,-18,Democratic,Democratic,HI,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
