,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,41.86353432786884,-93.39586178688515,312.5918032786884,28.92131147540984,24.0,187.1590163934428,23.606557377049178,7345.906557377056,7.049180327868853,966.3770491803284,18.75409836065574,26.175409836065572,23.590163934426233,24.94426229508197,23.590163934426233,32.82295081967213,134.95901639344262,44.6639344262295,19.12622950819672,1.6396721311475408,918.039344262296,16.393442622950822,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,41.86353432786884,-93.39586178688515,312.5918032786884,38.4688524590164,24.0,196.695081967213,23.606557377049178,7343.986885245907,6.836065573770492,962.4295081967216,23.393442622950822,26.119672131147546,23.606557377049178,24.36393442622952,23.606557377049178,30.01639344262295,243.95409836065568,45.372131147541005,30.83606557377048,8.196065573770491,950.7836065573779,1147.5409836065573,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,41.86353432786884,-93.39586178688515,312.5918032786884,32.8,23.819672131147538,520.5016393442623,22.57377049180328,7347.183606557379,5.688524590163934,972.5737704918033,23.29508196721311,24.98852459016393,23.42622950819672,22.909836065573774,23.409836065573767,32.127868852459,263.18032786885243,39.0639344262295,28.16557377049181,45.89704918032785,999.9000000000011,20655.737704918032,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,41.87415806666665,-93.41094564999992,313.5349999999999,28.43666666666667,24.0,191.75166666666652,23.566666666666666,7305.701666666671,5.183333333333334,980.1066666666667,23.6,24.75333333333333,23.6,25.88333333333333,23.58333333333333,35.00499999999998,74.585,35.22333333333332,21.688333333333336,60.011333333333305,999.9000000000011,9033.333333333334,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,41.86353432786884,-93.39586178688515,312.5918032786884,34.614754098360656,23.80327868852459,190.43442622950812,23.377049180327873,7349.180327868858,6.950819672131147,979.0819672131148,23.21311475409836,26.1688524590164,23.409836065573767,29.793442622950806,23.409836065573767,41.86065573770491,52.31803278688526,43.37540983606557,25.557377049180342,3.28,934.4557377049189,524.5901639344262,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,41.86353432786884,-93.39586178688515,312.5918032786884,29.849180327868844,23.9672131147541,187.35573770491797,23.508196721311478,7350.777049180333,7.0,967.8360655737705,23.377049180327873,26.14262295081968,23.557377049180328,22.134426229508186,23.52459016393443,28.639344262295094,565.9852459016398,39.359016393442616,21.354098360655733,13.11344262295082,950.82786885246,1590.1639344262296,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,41.86353432786884,-93.39586178688515,312.5918032786884,30.95409836065574,24.0,188.24590163934414,23.57377049180328,7349.819672131153,7.032786885245901,981.0213114754097,23.459016393442624,26.175409836065572,23.606557377049178,23.19508196721312,23.606557377049178,30.24754098360655,212.183606557377,39.63770491803279,22.65573770491803,9.835409836065573,983.5409836065584,3770.491803278689,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,41.86353432786884,-93.39586178688515,312.5918032786884,20.895081967213113,24.0,174.34262295081962,23.606557377049178,7351.986885245905,7.081967213114754,905.2770491803277,23.409836065573767,26.226229508196727,23.590163934426233,26.35081967213115,23.606557377049178,34.316393442622946,40.988524590163934,32.8311475409836,12.01311475409836,1.6391803278688524,983.5278688524601,16.393442622950822,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,41.86353432786884,-93.39586178688515,312.5918032786884,36.7655737704918,23.98360655737705,189.5245901639344,23.590163934426233,7347.570491803283,7.032786885245901,973.232786885246,23.377049180327873,26.2,23.590163934426233,30.770491803278688,23.540983606557376,39.28360655737704,48.12786885245901,53.254098360655746,22.60819672131148,1.6391803278688524,983.5278688524601,180.327868852459,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,41.86353432786884,-93.39586178688515,312.5918032786884,28.695081967213124,23.901639344262296,188.67868852459011,23.311475409836067,7349.722950819677,5.9836065573770485,980.4688524590164,23.327868852459016,25.322950819672126,23.508196721311478,26.268852459016394,23.459016393442624,35.262295081967224,74.20819672131145,41.12459016393441,21.486885245901643,40.99147540983605,950.8098360655747,11918.032786885247,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,41.85209323333333,-93.3827373166666,311.92999999999995,17.106666666666666,23.85,178.36333333333337,23.45,7455.411666666671,5.333333333333333,981.3316666666667,23.36666666666667,24.56833333333333,23.45,29.75666666666666,23.43333333333333,70.075,77.42166666666667,24.4,11.655,46.7693333333333,949.9966666666676,11250.0,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,41.85209323333333,-93.3827373166666,311.92999999999995,18.579999999999995,24.0,347.985,23.16666666666667,7456.321666666672,5.666666666666668,966.8733333333334,23.5,25.913333333333334,23.6,21.87666666666667,23.316666666666666,62.32,312.68333333333334,26.46333333333332,11.969999999999995,43.33283333333331,916.733333333334,9133.333333333334,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,41.86353432786884,-93.39586178688515,312.5918032786884,27.03606557377049,23.672131147540984,1660.4377049180332,19.73770491803279,7497.8655737704985,4.737704918032787,966.8016393442624,23.19672131147541,22.824590163934413,23.26229508196721,40.60655737704918,22.672131147540984,65.47377049180325,184.527868852459,31.23770491803279,22.595081967213112,49.19213114754096,901.7245901639352,29475.40983606557,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
13,13,2020-01-14,41.86353432786884,-93.39586178688515,312.5918032786884,30.649180327868862,23.622950819672127,355.38852459016374,22.80327868852459,7349.9934426229565,5.114754098360656,981.0229508196717,23.16393442622951,22.454098360655745,23.229508196721312,25.88032786885246,23.098360655737704,34.15081967213113,56.88688524590162,35.160655737704914,22.71311475409836,34.43508196721311,885.4409836065581,48590.16393442623,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
14,14,2020-01-15,41.86353432786884,-93.39586178688515,312.5918032786884,23.455737704918032,23.70491803278689,512.2721311475411,22.311475409836067,7497.831147540991,4.573770491803279,982.4901639344264,23.16393442622951,22.590163934426226,23.29508196721311,24.83606557377049,23.26229508196721,35.836065573770476,74.6737704918033,29.006557377049173,14.814754098360648,49.17819672131145,901.8147540983616,65459.016393442624,1583,1614,1575,8.0,1606,8.0,1880322.0,3197,39,,56.9284,3179849,55857,3,Republican,Republican,IA,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
