,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,38.30646970465116,-98.01144156511627,547.7751162790697,35.583720930232566,23.976744186046513,719.9139534883722,22.30232558139535,3935.5116279069753,16.162790697674414,956.0930232558137,15.69767441860465,125.1046511627907,21.186046511627904,77.93023255813951,22.30232558139535,86.93720930232556,345.6302325581395,55.609302325581396,22.532558139534878,0.0,999.9000000000008,232.55813953488368,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,38.30646970465116,-98.01144156511627,547.7751162790697,41.15116279069767,23.976744186046513,728.3906976744187,22.30232558139535,3931.0186046511603,15.953488372093025,953.0232558139536,19.0,125.07674418604653,21.186046511627904,76.43023255813954,22.30232558139535,83.57209302325582,363.10697674418594,52.12093023255814,31.276744186046514,2.3253488372093023,999.9000000000008,232.55813953488368,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,38.30646970465116,-98.01144156511627,547.7751162790697,37.95116279069767,24.0,725.3558139534883,22.32558139534884,3939.127906976744,15.651162790697676,961.9697674418608,19.069767441860467,124.9186046511628,21.209302325581394,77.80697674418603,22.27906976744186,84.07209302325582,272.16511627906965,49.737209302325574,27.783720930232555,0.0,999.9000000000008,0.0,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,38.30646970465116,-98.01144156511627,547.7751162790697,35.96511627906977,23.976744186046513,718.2395348837207,22.30232558139535,3945.769767441859,16.093023255813957,969.3744186046512,19.023255813953487,125.09767441860464,21.186046511627904,77.01627906976748,22.27906976744186,84.17209302325581,203.77441860465115,51.40000000000001,22.79767441860465,0.00023255813953488373,999.9000000000008,279.06976744186045,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,38.30646970465116,-98.01144156511627,547.7751162790697,41.55581395348836,24.0,720.1767441860463,22.32558139534884,3945.3581395348815,16.186046511627907,969.3372093023256,19.0,125.10232558139532,21.186046511627904,79.33953488372094,22.30232558139535,89.06976744186045,96.80232558139537,53.46976744186047,29.520930232558147,0.0,999.9000000000008,0.0,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,38.30646970465116,-98.01144156511627,547.7751162790697,33.911627906976754,23.930232558139533,717.409302325581,22.255813953488367,3946.1046511627887,15.930232558139535,969.6534883720932,18.953488372093023,125.09534883720929,21.13953488372093,75.51627906976745,22.255813953488367,84.59302325581395,389.21395348837194,50.48372093023254,21.402325581395345,0.0,999.9000000000008,0.0,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,38.30646970465116,-98.01144156511627,547.7751162790697,36.64883720930233,23.930232558139533,716.2372093023257,22.255813953488367,3946.5302325581392,15.86046511627907,970.3046511627907,18.976744186046513,125.1046511627907,21.13953488372093,76.42790697674418,22.255813953488367,82.98837209302326,339.3162790697673,56.7046511627907,22.65813953488372,0.0,999.9000000000008,0.0,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,38.30646970465116,-98.01144156511627,547.7751162790697,38.34883720930232,23.953488372093023,718.3302325581396,22.27906976744186,3943.3837209302305,15.953488372093025,966.5488372093024,18.976744186046513,125.08372093023256,21.13953488372093,77.93255813953489,22.255813953488367,88.15813953488373,164.71627906976744,57.75348837209302,24.29534883720931,0.00046511627906976747,999.9000000000008,0.0,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,38.29050462045454,-98.08785337045452,556.5715909090908,48.46818181818183,23.90909090909091,710.0590909090909,22.272727272727273,4073.6818181818157,14.931818181818182,959.7840909090912,18.38636363636364,122.48863636363636,21.181818181818183,80.85,22.272727272727273,89.4590909090909,98.91136363636365,58.05454545454546,37.51363636363636,0.0,999.9000000000008,0.0,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,38.29050462045454,-98.08785337045452,556.5715909090908,38.1409090909091,23.95454545454545,711.575,22.295454545454547,4281.152272727271,10.909090909090908,963.0727272727272,18.272727272727273,120.75681818181816,21.227272727272727,77.42727272727272,22.272727272727273,89.74318181818182,98.82954545454544,50.2659090909091,26.96818181818181,11.42,999.9000000000008,17870.454545454544,888,921,878,10.0,902,19.0,872278.0,1809,58,2020-03-30,35.5968,2910357,81759,13,Democratic,Republican,KS,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
