,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,37.5630985,-85.31870293750003,249.02343750000009,40.27812500000001,23.84375,650.4374999999999,22.34375,5507.431249999999,11.84375,927.84375,14.6875,71.85625,22.34375,68.71249999999998,22.3125,73.671875,232.38125,50.153125,32.425,3.1246875,999.9000000000003,312.5,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,37.5630985,-85.31870293750003,249.02343750000009,44.153125,23.78125,655.0625,22.28125,5505.265624999997,10.5,987.459375,16.90625,71.453125,22.28125,68.74375,22.28125,74.14375000000003,234.21875,51.55625,35.690625,25.055,999.9000000000003,8125.0,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,37.54857246875,-85.36654146875003,247.86250000000004,51.79374999999998,23.625,672.7562499999998,22.125,5503.874999999997,7.09375,986.2437500000003,16.5,68.79062499999999,22.125,66.12812500000001,22.09375,72.38749999999997,723.7375000000003,54.68750000000001,45.159375,25.4015625,999.9000000000003,30000.0,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,37.53294906060604,-85.38422203030305,246.9636363636364,44.1,23.33333333333333,644.3696969696971,21.87878787878788,5370.648484848483,7.787878787878787,868.2969696969699,16.393939393939394,68.21818181818182,21.87878787878788,67.9121212121212,21.87878787878788,74.87575757575756,81.54848484848485,53.6848484848485,35.784848484848496,24.486969696969695,999.9000000000003,14151.515151515152,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,37.5630985,-85.31870293750003,249.02343750000009,37.60625,24.0,651.95625,22.5,5511.440624999997,11.21875,683.4874999999997,17.125,71.71875,22.5,69.71874999999999,22.46875,76.62499999999999,113.96875,50.965625,29.58125,12.5278125,999.9000000000003,2593.75,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,37.53294906060604,-85.38422203030305,246.9636363636364,39.96969696969696,23.424242424242426,632.1121212121211,21.96969696969697,5646.957575757573,11.515151515151516,692.2757575757578,16.484848484848484,69.96060606060605,21.96969696969697,64.59696969696971,21.96969696969697,69.80606060606063,583.3333333333334,49.5969696969697,28.51515151515151,0.0,999.9000000000003,0.0,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,37.53294906060604,-85.38422203030305,246.9636363636364,39.46969696969697,23.75757575757576,630.7060606060605,22.303030303030305,5373.081818181817,11.12121212121212,871.5727272727273,16.575757575757574,69.61515151515152,22.272727272727273,65.45454545454547,22.303030303030305,73.43636363636362,199.09696969696972,49.5969696969697,29.378787878787872,27.28454545454545,999.9000000000003,12848.484848484848,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,37.52781167647058,-85.38202188235296,247.95647058823536,40.397058823529406,23.411764705882355,609.6500000000002,22.0,5513.035294117646,11.852941176470587,674.6264705882355,16.058823529411768,68.21764705882353,21.970588235294123,64.47647058823529,21.970588235294123,68.51176470588236,596.4323529411765,50.24411764705882,31.835294117647067,0.003823529411764706,999.9000000000003,0.0,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,37.52781167647058,-85.38202188235296,247.95647058823536,42.40294117647059,23.911764705882355,610.5117647058822,22.5,5514.055882352939,11.882352941176471,676.1382352941176,15.970588235294118,68.22058823529412,22.5,64.1735294117647,22.44117647058824,72.78823529411765,225.71470588235292,59.32058823529411,30.7264705882353,0.0,999.9000000000003,0.0,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,37.52781167647058,-85.38202188235296,247.95647058823536,58.041176470588226,23.970588235294123,627.8382352941177,22.558823529411764,5511.505882352941,11.941176470588234,732.1147058823531,16.088235294117652,68.07058823529411,22.558823529411764,68.48235294117649,22.558823529411764,74.36764705882355,111.36764705882355,64.77941176470586,52.308823529411775,17.666470588235292,999.9000000000003,5294.411764705882,7261,7398,6762,499.0,6848,550.0,6125634.0,14659,75,2020-03-26,113.9566,4499692,39486,15,Republican,Republican,KY,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
