,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,44.695461689285715,-69.20329946428569,105.14857142857143,30.442857142857147,23.25,2519.0321428571438,17.428571428571427,2605.021428571429,16.035714285714285,988.4178571428572,13.571428571428573,362.70714285714274,15.428571428571427,76.70357142857142,21.535714285714285,118.10714285714286,439.61428571428564,35.93928571428571,25.907142857142862,7.309285714285713,857.8107142857144,1214.2857142857142,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,44.695461689285715,-69.20329946428569,105.14857142857143,31.57500000000001,23.25,2517.557142857143,17.392857142857142,2612.217857142857,18.107142857142858,815.7,15.678571428571427,363.46785714285693,15.392857142857142,76.64642857142853,21.5,116.48928571428571,614.5714285714283,36.69642857142857,25.674999999999994,3.5782142857142856,857.9785714285716,3642.857142857143,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,44.695461689285715,-69.20329946428569,105.14857142857143,34.39642857142857,23.32142857142857,2521.067857142857,17.392857142857142,2612.535714285715,18.535714285714285,815.9821428571429,15.642857142857142,363.4499999999999,15.392857142857142,73.46071428571429,21.571428571428577,147.87499999999997,999.9000000000003,40.92857142857144,26.44642857142857,3.5710714285714285,857.9785714285716,1214.2857142857142,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,44.695461689285715,-69.20329946428569,105.14857142857143,35.457142857142856,23.25,2523.2249999999995,17.428571428571427,2612.2571428571428,17.642857142857142,815.7392857142859,15.714285714285715,362.7392857142858,15.428571428571427,73.80357142857143,21.535714285714285,113.56071428571428,929.7357142857146,40.892857142857146,29.500000000000004,7.147857142857142,857.8464285714289,8464.285714285714,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,44.695461689285715,-69.20329946428569,105.14857142857143,29.860714285714284,23.392857142857146,2518.317857142857,17.357142857142858,2608.3250000000007,14.821428571428573,990.9821428571429,15.535714285714285,361.56428571428575,15.392857142857142,79.23214285714286,21.607142857142854,121.51785714285715,338.5964285714285,37.660714285714285,22.52857142857143,7.209285714285714,857.7750000000003,7071.428571428572,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,44.695461689285715,-69.20329946428569,105.14857142857143,17.835714285714285,23.392857142857146,2507.807142857143,17.428571428571427,2617.3749999999995,17.964285714285715,676.9642857142858,15.714285714285715,363.03571428571416,15.428571428571427,75.15357142857141,21.678571428571423,116.65714285714287,685.0821428571427,29.50714285714286,11.235714285714288,7.1657142857142855,857.7464285714289,642.8571428571429,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,44.695461689285715,-69.20329946428569,105.14857142857143,22.589285714285715,23.42857142857143,2511.425,17.428571428571427,2618.7571428571428,17.321428571428573,570.7714285714285,15.714285714285715,362.96785714285716,15.428571428571427,74.36428571428574,21.714285714285715,114.82142857142857,754.1750000000002,31.85,11.564285714285715,7.154642857142856,857.8178571428574,571.4285714285714,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,44.695461689285715,-69.20329946428569,105.14857142857143,24.8,23.392857142857146,2514.2142857142867,17.428571428571427,2615.4500000000007,16.0,746.5357142857142,15.678571428571427,362.09642857142853,15.428571428571427,74.53214285714286,21.678571428571423,115.75,791.1464285714287,32.13214285714286,15.675,7.1482142857142845,857.8428571428575,12428.571428571431,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,44.695461689285715,-69.20329946428569,105.14857142857143,19.43571428571429,23.32142857142857,2504.6500000000005,17.428571428571427,2629.267857142857,18.214285714285715,436.41428571428565,15.571428571428573,363.1285714285713,15.428571428571427,80.25714285714284,21.5,122.96071428571429,340.53571428571416,30.049999999999994,10.860714285714288,7.158571428571428,857.8178571428574,392.8571428571428,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,44.695461689285715,-69.20329946428569,105.14857142857143,22.725,23.285714285714285,2509.4392857142857,17.428571428571427,2634.2285714285713,18.357142857142858,404.6928571428571,15.714285714285715,363.4785714285714,15.428571428571427,75.92857142857143,21.535714285714285,118.75714285714285,510.5607142857142,36.982142857142854,8.35,3.5728571428571425,857.8428571428575,1607.142857142857,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,44.695461689285715,-69.20329946428569,105.14857142857143,42.0642857142857,22.285714285714285,2527.521428571429,17.214285714285715,2624.7571428571428,16.357142857142858,468.4535714285713,15.642857142857142,362.9607142857143,15.392857142857142,76.725,20.571428571428573,120.02857142857144,406.29285714285714,53.76428571428572,34.135714285714286,7.155357142857143,893.3892857142862,23321.42857142857,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,44.695461689285715,-69.20329946428569,105.14857142857143,37.99642857142858,23.07142857142857,2525.739285714285,17.392857142857142,2618.9357142857143,12.75,606.9035714285712,15.357142857142858,361.16785714285714,15.428571428571427,79.47857142857143,21.25,121.68214285714285,372.5535714285714,52.721428571428575,26.582142857142852,7.404642857142856,893.4571428571433,35071.42857142857,1008,1062,925,83.0,1030,32.0,1233998.0,2070,19,2020-04-02,43.6336,1345790,30843,-3,Democratic,Both*,ME,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
