,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,42.00756911,-71.16202555333334,62.17000000000001,37.25333333333333,23.7,2021.4133333333332,19.0,1602.3866666666668,21.233333333333334,662.0133333333333,14.166666666666664,273.86999999999995,17.4,8.623333333333333,23.7,114.68333333333332,252.15999999999997,41.61666666666665,33.53333333333333,0.018666666666666668,999.9000000000003,5466.666666666667,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,42.00756911,-71.16202555333334,62.17000000000001,36.75,23.9,2019.14,19.2,1610.266666666666,22.23333333333333,434.55,17.6,273.9733333333333,17.6,7.726666666666667,23.9,112.09666666666664,445.0866666666665,45.26333333333333,30.70333333333333,0.0003333333333333333,966.6100000000004,0.0,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,42.00756911,-71.16202555333334,62.17000000000001,43.55999999999999,23.9,2027.773333333333,19.133333333333333,1608.4066666666665,21.8,499.81,17.533333333333335,273.8566666666666,17.533333333333335,5.413333333333332,23.86666666666667,110.16333333333334,706.2733333333334,47.19999999999998,34.09333333333333,3.333,999.9000000000003,1333.3333333333333,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,42.00756911,-71.16202555333334,62.17000000000001,42.52333333333333,24.0,2031.4100000000005,19.2,1605.8900000000006,17.1,497.57666666666665,17.6,270.6633333333333,17.366666666666667,2.6333333333333333,24.0,106.61666666666666,967.0366666666672,46.77333333333333,39.78,10.009999999999998,999.9000000000003,44000.0,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,42.00756911,-71.16202555333334,62.17000000000001,37.05333333333333,23.766666666666666,2023.0666666666668,19.0,1602.4833333333331,18.733333333333334,894.7866666666669,17.366666666666667,272.4366666666666,17.333333333333332,10.72,23.73333333333333,118.65000000000002,257.4266666666666,44.48333333333333,32.78333333333333,10.153666666666664,999.9000000000003,30833.33333333333,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,42.00756911,-71.16202555333334,62.17000000000001,30.52333333333333,23.36666666666667,2017.196666666667,18.566666666666666,1612.0199999999998,20.4,435.9633333333333,17.333333333333332,273.51999999999987,17.333333333333332,3.7499999999999987,23.36666666666667,109.55,640.0366666666666,38.406666666666666,24.46333333333333,6.715333333333333,999.9000000000003,4566.666666666667,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,42.00050942413794,-71.16369195172416,57.7448275862069,35.634482758620685,23.689655172413797,2086.375862068966,18.793103448275858,1635.5137931034485,22.03448275862069,384.2827586206897,17.96551724137931,248.87586206896546,17.931034482758623,5.351724137931034,23.689655172413797,113.71724137931037,594.5034482758621,41.10344827586207,26.386206896551727,0.0037931034482758617,999.9000000000003,68.96551724137932,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,42.00050942413794,-71.16369195172416,57.7448275862069,34.50689655172415,23.724137931034484,2089.3862068965523,18.758620689655174,1630.38275862069,19.206896551724142,414.5448275862068,17.82758620689655,248.11379310344824,17.896551724137932,7.244827586206897,23.689655172413797,122.41034482758621,265.49655172413793,40.82758620689656,28.527586206896554,10.405517241379306,999.9000000000003,17241.379310344826,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,42.00050942413794,-71.16369195172416,57.7448275862069,26.027586206896554,23.689655172413797,2073.6,18.724137931034484,1649.972413793103,21.655172413793107,327.3517241379309,17.655172413793107,248.89310344827578,17.82758620689655,10.496551724137927,23.58620689655172,122.41724137931034,265.12413793103445,38.50689655172413,19.665517241379305,0.03137931034482759,999.9000000000003,137.93103448275863,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,42.00756911,-71.16202555333334,62.17000000000001,36.23000000000001,23.63333333333333,2020.82,18.866666666666667,1633.0866666666666,20.6,351.9966666666667,17.2,273.88333333333327,17.266666666666666,7.369999999999999,23.566666666666666,114.22333333333334,317.25333333333333,48.78,20.113333333333326,0.017,999.9000000000003,1333.3333333333333,5721,5870,4571,1150.0,4751,1119.0,17936188.0,11591,73,2020-03-24,894.4355,6976597,7800,-12,Republican,Democratic,MA,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
