,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,45.96955497821785,-94.1429950376238,350.359504950495,17.76534653465346,22.504950495049506,211.16138613861386,22.02970297029703,7593.818811881198,6.306930693069308,956.7336633663364,16.88118811881188,78.46831683168314,20.84158415841584,35.47029702970298,21.782178217821784,49.67623762376239,815.636633663366,30.08217821782177,7.386138613861385,22.770693069306933,921.4465346534647,673.2673267326733,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,45.967693850980424,-94.16654136078434,349.98735294117654,29.63627450980392,22.147058823529417,221.60980392156878,21.66666666666667,7616.508823529422,5.284313725490196,956.3911764705882,20.303921568627448,76.81176470588234,20.5,36.12549019607843,21.43137254901961,53.24607843137257,164.09607843137252,130.49313725490194,123.92450980392158,39.21735294117643,902.8696078431365,6372.5490196078445,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,45.96955497821785,-94.1429950376238,350.359504950495,26.68118811881188,22.52475247524752,220.91881188118808,22.019801980198014,7596.509900990108,5.2673267326732685,968.3148514851487,20.673267326732677,76.96534653465345,20.861386138613863,34.321782178217816,21.782178217821784,50.96435643564358,553.4079207920796,129.25841584158414,121.09504950495048,46.53099009900985,911.6415841584151,5376.237623762377,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,45.96955497821785,-94.1429950376238,350.359504950495,22.18316831683169,24.0,216.2772277227721,23.52475247524752,7598.6138613861485,5.594059405940594,965.6247524752476,22.207920792079207,77.82178217821783,22.33663366336633,34.6980198019802,23.20792079207921,50.452475247524774,601.7485148514858,28.149504950495047,16.06138613861387,26.73405940594058,911.6336633663358,15287.128712871288,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,45.96955497821785,-94.1429950376238,350.359504950495,28.635643564356442,24.0,220.33564356435642,23.52475247524752,7596.898019801988,5.950495049504951,960.0287128712872,22.10891089108911,78.27029702970295,22.33663366336633,41.243564356435655,23.257425742574252,63.57524752475246,73.19108910891086,34.80099009900989,22.786138613861386,33.662772277227695,911.6495049504942,1237.6237623762374,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,45.96955497821785,-94.1429950376238,350.359504950495,23.20099009900991,23.89108910891089,214.16633663366343,23.41584158415841,7598.286138613872,6.247524752475248,965.1326732673268,22.08910891089109,78.619801980198,22.227722772277232,36.65445544554458,23.15841584158416,52.13564356435644,301.021782178218,32.749504950495044,14.322772277227731,1.9807920792079208,921.5069306930684,1029.7029702970297,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,45.96833849800002,-94.14081959800005,350.3579000000001,20.707999999999988,24.0,213.63499999999996,23.52,7663.914000000011,5.94,963.632,22.35,79.09199999999997,22.32,39.38,23.27,56.275,101.82700000000004,30.20099999999999,8.37,29.996999999999982,910.8619999999994,510.0,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,45.96955497821785,-94.1429950376238,350.359504950495,-0.3970297029702969,23.702970297029704,190.77524752475253,23.227722772277232,7690.30396039605,6.01980198019802,944.1564356435644,22.019801980198014,78.48811881188117,22.039603960396036,45.83960396039606,22.722772277227726,64.05940594059406,196.43960396039608,9.575247524752475,-10.366336633663368,21.780297029702965,921.5069306930684,1267.3267326732673,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,45.96955497821785,-94.1429950376238,350.359504950495,18.213861386138607,23.782178217821784,208.86633663366317,23.30693069306931,7597.281188118824,6.009900990099009,960.0415841584164,21.801980198019802,78.09009900990097,22.128712871287128,38.73366336633664,22.900990099009906,55.44554455445545,101.01683168316828,27.735643564356433,105.68118811881187,25.743663366336627,911.6465346534643,2425.742574257425,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,45.96955497821785,-94.1429950376238,350.359504950495,13.341584158415838,23.91089108910891,204.6049504950497,23.435643564356443,7599.882178217832,5.8217821782178225,968.9792079207922,22.08910891089109,78.27821782178214,22.247524752475247,48.199009900990106,22.940594059405946,62.94752475247525,164.8524752475247,23.086138613861394,4.140594059405942,50.49247524752469,911.6584158415833,643.5643564356436,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,45.98708382800003,-94.14525828800005,350.7511,-2.7829999999999995,23.59,189.62899999999996,23.11,7667.50300000001,6.07,964.263,21.83,79.25999999999998,21.94,45.68300000000002,22.63,70.70199999999998,548.9420000000006,8.635000000000002,-12.970000000000004,8.9991,930.6319999999993,150.0,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,45.982681865306155,-94.10097213061228,351.5429591836735,8.712244897959181,23.857142857142854,206.73265306122437,23.367346938775512,7618.889795918378,5.959183673469387,960.4846938775509,21.959183673469386,80.23265306122447,22.142857142857146,46.25408163265305,22.877551020408163,61.63775510204081,588.7989795918372,18.276530612244894,-0.09387755102040808,42.85295918367343,919.1316326530606,1591.8367346938776,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,45.9913332606061,-94.12685180606064,350.81525252525256,18.56262626262626,23.646464646464647,216.52323232323215,23.161616161616163,7642.015151515161,4.797979797979798,958.5989898989898,21.939393939393934,78.19292929292926,22.07070707070707,46.80303030303028,22.66666666666667,63.83939393939394,297.3020202020204,25.04848484848484,11.132323232323227,47.474949494949435,910.0030303030296,10797.9797979798,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
13,13,2020-01-14,45.9913332606061,-94.12685180606064,350.81525252525256,22.834343434343428,23.959595959595962,221.08484848484844,23.373737373737374,7640.81111111112,4.616161616161617,964.7888888888886,22.15151515151515,76.83232323232323,22.222222222222218,38.284848484848496,23.050505050505052,56.1838383838384,121.07272727272728,28.305050505050488,11.31818181818182,60.62303030303024,909.8949494949487,12404.040404040403,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
14,14,2020-01-15,45.9913332606061,-94.12685180606064,350.81525252525256,8.33737373737374,23.989898989898986,205.8121212121212,23.5050505050505,7642.717171717181,5.101010101010101,970.7,22.101010101010104,77.75050505050501,22.29292929292929,35.99595959595959,23.080808080808076,54.84646464646462,347.87272727272745,14.697979797979801,-0.3565656565656565,61.61808080808075,919.9313131313124,5919.1919191919205,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
15,15,2020-01-16,45.9913332606061,-94.12685180606064,350.81525252525256,-7.893939393939392,23.60606060606061,186.95151515151508,23.12121212121212,7646.998989899002,6.090909090909091,692.1131313131316,21.777777777777782,79.78080808080806,21.90909090909091,46.78686868686869,22.57575757575757,64.02727272727272,278.1434343434345,1.9424242424242424,-16.490909090909092,11.124343434343434,909.9505050505043,161.6161616161616,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
16,16,2020-01-17,45.97405333125002,-94.11490166458336,351.15510416666666,3.817708333333334,24.0,205.3760416666668,23.5,7665.659375000008,5.4375,875.3927083333334,22.23958333333333,80.25624999999998,22.25,50.82291666666666,23.0,68.62291666666668,116.20937499999997,19.732291666666672,-10.239583333333336,61.456562499999905,907.3572916666659,16500.0,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
17,17,2020-01-18,45.97405333125002,-94.11490166458336,351.15510416666666,16.058333333333334,23.84375,220.6947916666666,23.32291666666667,7940.793750000011,3.145833333333333,961.4208333333332,22.22916666666667,75.35624999999997,22.09375,42.45312499999999,22.9375,62.84062499999999,81.315625,24.165624999999995,3.193750000000001,62.55916666666658,897.2583333333329,14635.416666666664,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
18,18,2020-01-19,45.984633997894754,-94.09811115578951,351.53357894736837,3.110526315789474,24.0,207.86631578947362,23.49473684210526,7639.304210526327,5.136842105263158,943.0894736842108,22.389473684210525,80.72,22.221052631578946,52.52,22.97894736842105,70.11368421052633,118.70842105263156,8.804210526315789,-0.5757894736842103,53.70126315789468,906.5778947368416,778.9473684210526,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
19,19,2020-01-20,45.99211176875002,-94.08150760208336,351.9321875,1.9479166666666667,23.83333333333333,205.03020833333343,23.33333333333333,7666.342708333343,5.5625,775.1218750000003,22.21875,80.73333333333333,21.98958333333333,44.90937500000001,22.8125,70.246875,928.1916666666659,12.147916666666667,-8.527083333333335,60.413749999999936,897.335416666666,7072.916666666668,6836,6716,6314,522.0,6215,501.0,16635076.0,13552,55,2020-03-27,71.5922,5700671,79627,-1,Democratic,Democratic,MN,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
