,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,32.52555433888889,-89.52950108888888,69.67166666666665,44.03611111111112,23.66666666666667,1140.2638888888894,21.027777777777782,4511.755555555555,14.444444444444445,202.01388888888889,16.055555555555557,147.1194444444444,20.33333333333333,86.19722222222221,21.58333333333333,91.2777777777778,835.4805555555561,56.48333333333335,34.54444444444445,2.7775,999.9000000000008,277.77777777777777,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,32.52555433888889,-89.52950108888888,69.67166666666665,56.41111111111112,23.722222222222218,1156.1694444444445,21.08333333333333,4507.055555555554,10.666666666666666,584.2500000000001,18.83333333333333,145.15277777777774,20.416666666666668,89.38611111111109,21.722222222222218,94.98888888888891,401.19166666666655,65.10833333333332,49.43333333333334,27.94361111111111,999.9000000000008,13613.611111111111,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,32.52555433888889,-89.52950108888888,69.67166666666665,60.15555555555557,23.722222222222218,1162.7999999999995,21.055555555555557,4506.136111111109,11.027777777777779,528.2666666666668,18.944444444444443,145.33055555555552,20.38888888888889,87.70833333333331,21.722222222222218,93.96388888888892,372.7583333333332,66.0361111111111,55.897222222222226,28.95472222222222,999.9000000000008,16390.277777777777,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,32.52555433888889,-89.52950108888888,69.67166666666665,53.313888888888904,23.722222222222218,1150.2666666666667,21.055555555555557,4512.249999999998,12.222222222222221,202.66388888888886,18.916666666666668,146.90555555555554,20.38888888888889,90.31666666666666,21.722222222222218,98.24444444444444,213.625,59.90277777777776,45.7,16.854444444444443,999.9000000000008,24444.44444444444,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,32.52555433888889,-89.52950108888888,69.67166666666665,44.352777777777774,23.08333333333333,1141.7083333333335,20.416666666666668,4517.172222222222,14.0,209.24722222222218,18.222222222222218,147.15555555555557,19.916666666666668,86.86388888888888,21.055555555555557,92.04444444444445,781.6194444444449,61.94166666666666,32.66388888888888,0.00027777777777777783,999.9000000000008,8333.333333333334,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,32.52555433888889,-89.52950108888888,69.67166666666665,51.55277777777778,23.722222222222218,1149.675,21.055555555555557,4514.066666666667,14.083333333333336,205.10277777777776,18.666666666666668,147.02499999999995,20.38888888888889,87.12777777777777,21.66666666666667,92.34444444444445,617.5305555555557,66.5888888888889,38.555555555555564,2.7775,999.9000000000008,11388.888888888889,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,32.52555433888889,-89.52950108888888,69.67166666666665,53.194444444444436,23.13888888888889,1145.3861111111114,20.61111111111111,4514.141666666666,13.666666666666664,205.59166666666664,18.277777777777782,147.25833333333333,19.944444444444443,89.53611111111111,21.11111111111111,95.69722222222224,183.30277777777775,61.397222222222226,43.58055555555554,2.7777777777777777,999.9000000000008,555.5555555555555,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,32.52555433888889,-89.52950108888888,69.67166666666665,45.313888888888904,23.472222222222218,1138.3333333333333,20.805555555555557,4518.102777777775,14.0,210.65277777777783,18.666666666666668,147.17499999999995,20.36111111111111,86.3361111111111,21.472222222222218,90.96944444444445,835.3944444444447,63.17499999999999,31.75833333333333,0.0,999.9000000000008,0.0,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,32.52555433888889,-89.52950108888888,69.67166666666665,51.81111111111111,23.58333333333333,1146.7527777777784,20.972222222222218,4516.294444444444,14.027777777777779,208.23055555555547,18.472222222222218,147.2611111111111,20.305555555555557,90.00833333333334,21.58333333333333,97.49444444444444,212.88055555555556,67.17777777777779,39.27777777777777,2.7775,999.9000000000008,833.3333333333335,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,32.52555433888889,-89.52950108888888,69.67166666666665,64.03611111111111,23.694444444444446,1162.7388888888886,21.027777777777782,4513.352777777777,11.722222222222221,204.35277777777776,18.694444444444443,146.5555555555556,20.36111111111111,92.98333333333332,21.694444444444446,98.53333333333332,213.67777777777783,68.40555555555554,60.94722222222222,30.57833333333333,999.9000000000008,13612.5,1101,1096,1096,5.0,1095,1.0,856937.0,2197,70,2020-04-03,63.7056,2989260,46923,9,Republican,Republican,MS,South,East South Central,,,,,,,,,,,,,,,,,,,,,,,
