,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,41.3129672,-99.35322472340424,742.0357446808509,30.387234042553192,24.0,658.531914893617,22.46808510638298,5406.482978723401,12.23404255319149,940.3680851063832,14.957446808510639,73.18297872340425,22.46808510638298,71.93829787234044,22.425531914893615,79.85744680851063,335.8702127659574,43.721276595744676,19.338297872340426,12.765106382978725,915.0787234042559,2127.659574468085,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,41.3129672,-99.35322472340424,742.0357446808509,35.212765957446805,23.723404255319146,665.7787234042554,22.19148936170213,5405.1978723404245,11.680851063829785,940.1425531914894,18.72340425531915,73.17446808510637,22.19148936170213,71.13617021276595,22.17021276595745,77.98297872340426,375.23191489361693,42.704255319148935,26.010638297872337,14.893829787234043,915.0617021276602,2574.468085106383,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,41.3047109375,-99.44378254166668,758.21875,32.6,23.58333333333333,648.7125000000002,22.08333333333333,5507.329166666666,11.833333333333336,950.1166666666671,18.33333333333333,71.6125,22.08333333333333,71.82916666666667,22.02083333333333,81.96041666666666,129.6916666666667,40.63125,25.21250000000001,6.2506249999999985,916.7729166666671,729.1666666666665,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,41.3047109375,-99.44378254166668,758.21875,32.24791666666667,23.54166666666667,645.6625,22.04166666666667,5510.293749999998,11.875,955.1395833333336,18.354166666666668,71.85416666666667,22.04166666666667,70.29791666666667,22.04166666666667,77.27916666666665,409.54791666666665,48.10208333333332,19.797916666666673,14.581874999999998,916.7145833333341,375.0,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,41.3129672,-99.35322472340424,742.0357446808509,39.40212765957447,24.0,660.9021276595744,22.46808510638298,5415.306382978722,12.255319148936168,954.6382978723407,18.72340425531915,73.18297872340426,22.46808510638298,75.59999999999998,22.40425531914893,85.8468085106383,94.13829787234042,49.08085106382978,29.81489361702128,0.0,957.44255319149,212.7659574468085,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,41.325349832,-99.60275724000005,781.418,32.23000000000001,22.9,819.4860000000003,21.36,5690.88,11.34,958.3180000000003,17.56,89.15199999999999,21.36,88.17800000000003,21.36,97.03600000000004,319.6559999999999,42.648,23.468,11.9988,959.9680000000008,200.0,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,41.325349832,-99.60275724000005,781.418,33.518,23.68,820.0279999999997,21.76,5511.092,11.76,957.756,17.6,89.18800000000002,21.76,88.11599999999996,21.76,95.904,238.326,48.758,21.488000000000003,0.0002,979.9260000000007,0.0,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,41.33369030612245,-99.51914004081634,766.3689795918367,29.765306122448983,23.918367346938773,835.4061224489798,21.959183673469386,5416.716326530611,11.93877551020408,955.0591836734694,17.959183673469386,90.78367346938776,21.938775510204078,89.73877551020406,21.877551020408163,97.15918367346941,323.46326530612237,44.07551020408164,20.910204081632656,0.0012244897959183673,979.5183673469397,2040.8163265306125,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,41.3280165,-99.58609056000005,776.9008,36.43000000000001,23.68,822.794,21.76,5323.499999999997,11.9,947.362,17.58,89.19,21.76,89.40399999999998,21.74,96.07000000000002,258.4719999999999,45.982000000000006,26.08400000000001,0.0006,979.9260000000007,0.0,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,41.3280165,-99.58609056000005,776.9008,25.294000000000004,24.0,818.9799999999997,22.06,5330.013999999998,9.68,955.9020000000003,17.64,87.30599999999998,22.04,89.41200000000003,22.02,99.71000000000002,106.082,38.73199999999999,14.768000000000004,20.0074,959.9900000000008,26640.0,1745,1777,1724,21.0,1759,18.0,2354281.0,3522,26,,25.4161,1952570,76824,14,Republican,Republican,NE,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
