,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,43.391663571428566,-71.37633523571428,262.87142857142857,31.485714285714288,23.857142857142854,1450.4214285714286,20.428571428571427,3572.014285714285,14.357142857142858,985.6928571428572,12.571428571428573,291.17857142857144,17.0,151.60714285714286,20.428571428571427,159.12857142857143,304.1857142857143,35.3,26.72142857142857,0.16357142857142862,787.2071428571428,8928.57142857143,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,43.391663571428566,-71.37633523571428,262.87142857142857,31.08571428571429,23.857142857142854,1448.257142857143,20.428571428571427,3578.0357142857147,16.571428571428573,847.9357142857143,15.428571428571427,292.7428571428572,17.0,151.29285714285714,20.428571428571427,156.21428571428575,582.9999999999999,38.885714285714286,24.414285714285718,0.025000000000000005,787.1214285714284,7500.0,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,43.391663571428566,-71.37633523571428,262.87142857142857,34.32142857142857,23.92857142857143,1453.6357142857141,20.5,3577.1214285714286,16.928571428571427,918.7357142857143,15.428571428571427,292.75,17.071428571428573,147.80714285714288,20.5,222.5642857142857,932.9714285714284,41.607142857142854,25.72142857142857,0.002142857142857143,787.0642857142856,16428.571428571428,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,43.391663571428566,-71.37633523571428,262.87142857142857,34.95000000000001,23.857142857142854,1456.7928571428567,20.428571428571427,3576.5642857142857,12.357142857142858,989.1785714285713,15.428571428571427,290.98571428571427,17.0,146.36428571428567,20.428571428571427,222.65714285714282,932.5428571428567,40.642857142857146,30.764285714285712,0.04,787.1285714285713,56785.714285714275,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,43.391663571428566,-71.37633523571428,262.87142857142857,30.264285714285712,23.0,1449.45,19.5,3574.2285714285717,12.714285714285715,987.2214285714284,14.714285714285715,290.34285714285716,16.142857142857142,153.20000000000005,19.428571428571427,160.36428571428567,306.57142857142856,37.457142857142856,24.35,0.1464285714285714,787.2142857142856,12785.714285714286,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,43.391663571428566,-71.37633523571428,262.87142857142857,21.5,23.785714285714285,1441.5571428571427,20.357142857142858,3580.421428571429,15.285714285714285,849.992857142857,15.428571428571427,294.9928571428572,16.928571428571427,147.15,20.285714285714285,154.77857142857144,722.0642857142856,31.807142857142857,13.564285714285711,7.199285714285714,787.2714285714284,7857.142857142857,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,43.391663571428566,-71.37633523571428,262.87142857142857,26.24285714285714,23.857142857142854,1444.435714285714,20.428571428571427,3582.042857142857,16.5,779.9428571428571,15.428571428571427,292.95,17.0,148.94285714285712,20.428571428571427,155.81428571428572,653.7214285714284,33.778571428571425,16.057142857142857,7.168571428571428,787.2714285714284,21928.571428571428,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,43.391663571428566,-71.37633523571428,262.87142857142857,28.657142857142862,23.92857142857143,1447.292857142857,20.5,3578.914285714285,14.571428571428573,848.5142857142854,15.428571428571427,291.0571428571428,17.071428571428573,148.56428571428572,20.5,161.35714285714286,307.4642857142857,35.671428571428564,20.25,7.164999999999999,787.492857142857,30000.0,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,43.391663571428566,-71.37633523571428,262.87142857142857,17.885714285714286,23.285714285714285,1431.6285714285714,19.857142857142858,3594.071428571429,16.142857142857142,576.1928571428573,15.357142857142858,293.5142857142858,16.428571428571427,154.28571428571428,19.714285714285715,162.0,308.1642857142857,32.99999999999999,10.085714285714287,7.199285714285714,787.4071428571426,7642.857142857143,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,43.391663571428566,-71.37633523571428,262.87142857142857,25.092857142857145,23.142857142857146,1442.2214285714285,19.714285714285715,3595.578571428571,16.785714285714285,577.4214285714286,15.428571428571427,296.60714285714283,16.285714285714285,148.97142857142856,19.714285714285715,155.27857142857144,723.5071428571428,39.44285714285714,12.335714285714285,7.145714285714287,787.492857142857,7428.571428571428,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,43.391663571428566,-71.37633523571428,262.87142857142857,44.82857142857142,22.857142857142854,2174.0285714285715,18.285714285714285,3587.1357142857146,14.642857142857142,570.6214285714284,15.428571428571427,291.7142857142857,16.571428571428573,151.44285714285712,19.428571428571427,159.28571428571428,377.1214285714285,60.03571428571429,31.82142857142857,7.189285714285715,787.0714285714283,16642.85714285714,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,43.391663571428566,-71.37633523571428,262.87142857142857,52.20000000000001,23.785714285714285,1466.7571428571425,20.357142857142858,3580.3,14.071428571428573,849.9714285714284,15.357142857142858,291.1642857142857,17.071428571428573,154.46428571428567,20.357142857142858,162.7571428571429,310.2142857142857,62.80714285714286,33.31428571428571,0.10642857142857144,857.6999999999997,35857.142857142855,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,43.391663571428566,-71.37633523571428,262.87142857142857,28.314285714285717,23.214285714285715,1447.05,19.785714285714285,3593.778571428572,13.642857142857142,576.1071428571427,15.428571428571427,294.15714285714284,16.785714285714285,149.05,19.785714285714285,155.25714285714284,652.7142857142857,36.57857142857143,24.592857142857138,0.15071428571428572,857.4999999999999,9214.285714285714,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
13,13,2020-01-14,43.391663571428566,-71.37633523571428,262.87142857142857,30.971428571428564,23.357142857142854,1452.485714285714,19.928571428571427,3590.5999999999995,13.142857142857142,573.4571428571427,15.428571428571427,292.2,16.5,147.38571428571433,19.928571428571427,153.21428571428572,933.0428571428567,37.00714285714286,24.464285714285715,0.007857142857142858,857.4214285714286,23285.714285714286,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
14,14,2020-01-15,43.391663571428566,-71.37633523571428,262.87142857142857,35.035714285714285,23.92857142857143,1453.821428571429,20.5,3585.042857142857,14.642857142857142,711.4071428571426,15.428571428571427,291.0,17.071428571428573,148.78571428571425,20.428571428571427,153.84285714285716,581.5714285714283,41.41428571428571,28.564285714285717,7.158571428571428,857.4785714285713,24642.857142857138,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
15,15,2020-01-16,43.391663571428566,-71.37633523571428,262.87142857142857,31.064285714285717,23.92857142857143,1451.4214285714286,20.5,3581.164285714286,11.714285714285715,850.0571428571428,15.428571428571427,289.68571428571425,17.071428571428573,149.27142857142852,20.357142857142858,161.40714285714287,309.77857142857135,39.142857142857146,25.942857142857147,0.07,786.2285714285713,32142.857142857138,511,529,487,24.0,507,22.0,784076.0,1040,14,2020-03-27,153.1605,1371246,8953,0,Republican,Democratic,NH,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
