,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,34.37917902857143,-105.84652257142858,1631.2368571428574,31.43428571428571,23.82857142857143,870.9942857142856,21.771428571428565,5378.425714285712,12.257142857142858,859.9085714285715,15.142857142857142,94.82571428571428,21.771428571428565,92.84000000000002,21.771428571428565,101.32,444.9771428571427,50.722857142857144,16.094285714285718,0.0005714285714285715,999.9000000000008,28.57142857142857,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,34.37917902857143,-105.84652257142858,1631.2368571428574,35.66,23.885714285714286,877.86,21.82857142857143,5373.299999999998,11.457142857142856,854.9314285714287,19.771428571428565,94.40857142857142,21.82857142857143,94.84285714285716,21.8,103.50571428571426,194.01714285714286,47.051428571428566,24.73142857142857,17.14714285714285,999.9000000000008,12714.285714285714,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,34.37917902857143,-105.84652257142858,1631.2368571428574,30.288571428571423,23.942857142857147,875.5314285714285,21.885714285714286,5381.2485714285685,12.028571428571427,864.0628571428575,19.82857142857143,94.63142857142859,21.857142857142854,91.84285714285716,21.857142857142854,98.60285714285715,413.29428571428565,45.79714285714285,18.325714285714284,0.02485714285714286,999.9000000000008,10914.285714285714,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,34.37917902857143,-105.84652257142858,1631.2368571428574,34.05142857142857,23.97142857142857,874.0885714285715,21.914285714285718,5385.394285714286,12.314285714285715,870.5057142857142,19.857142857142858,94.84857142857143,21.914285714285718,91.11428571428571,21.885714285714286,97.16857142857144,664.6142857142859,338.1171428571429,18.762857142857143,0.003142857142857143,999.9000000000008,0.0,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,34.37917902857143,-105.84652257142858,1631.2368571428574,38.294285714285714,23.6,875.2142857142858,21.542857142857148,5384.94857142857,12.342857142857143,870.8085714285717,19.457142857142856,94.83428571428571,21.542857142857148,91.62285714285721,21.485714285714284,98.37142857142857,609.6828571428573,56.74857142857143,21.120000000000008,0.0,999.9000000000008,0.0,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,34.37917902857143,-105.84652257142858,1631.2368571428574,38.394285714285715,23.457142857142852,871.757142857143,21.4,5383.768571428571,12.342857142857143,869.0542857142859,19.34285714285714,94.84857142857143,21.4,93.89428571428572,21.257142857142856,103.47428571428571,249.4142857142857,53.09428571428571,24.68285714285714,0.0,999.9000000000008,0.0,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,34.37917902857143,-105.84652257142858,1631.2368571428574,33.63428571428571,23.97142857142857,866.0971428571432,21.914285714285718,5386.2028571428555,12.314285714285715,871.7657142857142,19.857142857142858,94.84857142857143,21.914285714285718,91.16,21.82857142857143,96.46,635.4257142857143,53.36285714285713,18.122857142857143,0.0,999.9000000000008,0.0,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,34.37917902857143,-105.84652257142858,1631.2368571428574,34.08571428571429,23.97142857142857,867.6999999999998,21.914285714285718,5380.937142857142,12.285714285714285,865.1028571428573,19.88571428571429,94.84857142857143,21.82857142857143,91.62285714285716,21.82857142857143,100.66,358.10285714285703,55.214285714285715,17.982857142857142,0.0,999.9000000000008,0.0,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,34.37917902857143,-105.84652257142858,1631.2368571428574,40.08285714285713,23.771428571428572,871.0342857142857,21.714285714285715,5376.4742857142855,12.114285714285714,859.797142857143,19.742857142857144,94.80285714285715,21.714285714285715,93.70285714285713,21.62857142857143,102.10857142857141,304.3914285714285,55.297142857142866,23.694285714285712,0.0,999.9000000000008,2885.714285714286,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,34.37917902857143,-105.84652257142858,1631.2368571428574,37.277142857142856,23.857142857142854,876.2399999999997,21.8,5376.711428571428,10.6,859.3057142857144,19.8,94.25714285714285,21.8,94.0342857142857,21.714285714285715,106.15428571428569,112.91428571428571,49.948571428571434,26.757142857142853,22.860571428571426,999.9000000000008,19057.14285714286,1395,1462,1380,15.0,1450,12.0,2441791.0,2857,37,2020-03-24,17.285,2096640,121298,-3,Democratic,Democratic,NM,West,Mountain,,,,,,,,,,,,,,,,,,,,,,,
