,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,35.47320179358972,-78.82666431538463,154.96897435897438,45.37820512820514,23.78205128205128,1053.4589743589743,21.423076923076927,5967.158974358979,10.551282051282053,495.5487179487181,16.846153846153847,124.21410256410256,21.102564102564106,56.82692307692307,22.538461538461537,62.02948717948719,496.44102564102593,55.95256410256412,35.52307692307692,0.0,999.9,0.0,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,35.47320179358972,-78.82666431538463,154.96897435897438,43.83333333333333,23.76923076923077,1056.5923076923075,21.44871794871795,5969.339743589749,10.525641025641026,473.2397435897436,20.525641025641026,124.16025641025637,21.115384615384613,53.906410256410226,22.538461538461537,72.5179487179487,773.133333333334,55.61923076923075,34.69615384615385,21.810641025641022,999.9,7564.1025641025635,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,35.467211897468346,-78.81596818481015,153.53645569620252,54.31772151898736,23.91139240506329,1057.4936708860755,21.49367088607595,6018.920253164561,8.455696202531646,502.77468354430397,20.60759493670886,120.67215189873416,21.253164556962027,54.826582278481034,22.69620253164557,61.71772151898733,516.9443037974687,64.82784810126584,44.47848101265824,21.706455696202536,999.9,31924.050632911392,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,35.467211897468346,-78.81596818481015,153.53645569620252,59.6518987341772,23.556962025316448,1189.1367088607594,20.87341772151899,6016.398734177218,7.772151898734178,549.2481012658229,20.26582278481013,120.50759493670887,20.87341772151899,57.18987341772151,22.49367088607595,66.50632911392404,161.31265822784806,66.98860759493674,50.93291139240508,14.373291139240512,999.9,23696.202531645566,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,35.472983844871784,-78.79972418717949,154.33692307692306,45.25256410256411,23.961538461538463,1052.1294871794873,21.512820512820515,5969.12820512821,10.461538461538463,473.47564102564104,20.58974358974359,124.15,21.23076923076923,47.51666666666666,23.038461538461537,56.14358974358974,140.47820512820513,59.98205128205128,35.92564102564104,7.819487179487183,999.9,2858.9743589743593,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,35.472983844871784,-78.79972418717949,154.33692307692306,43.598717948717955,22.93589743589743,1052.3961538461535,20.55128205128205,5970.326923076927,10.3974358974359,475.3653846153848,19.628205128205128,124.21025641025636,20.243589743589748,42.238461538461536,21.987179487179485,47.41282051282053,824.1512820512828,59.00384615384616,32.888461538461534,0.015256410256410256,999.9,1282.051282051282,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,35.46294538333332,-78.8580959820513,155.3766666666667,43.39230769230769,23.961538461538463,928.8794871794876,21.820512820512818,6084.401282051285,9.525641025641026,460.62820512820537,20.91025641025641,111.12179487179482,21.538461538461537,55.60769230769229,22.71794871794872,67.54358974358975,163.51794871794866,58.67435897435895,32.63076923076923,17.9751282051282,999.9,11192.435897435897,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,35.46294538333332,-78.8580959820513,155.3766666666667,43.738461538461536,23.91025641025641,922.4064102564104,21.78205128205128,6087.185897435902,10.23076923076923,414.67692307692323,20.871794871794872,111.47307692307692,21.474358974358974,57.687179487179506,22.66666666666667,66.58717948717948,149.5051282051282,59.5794871794872,31.129487179487175,0.023205128205128208,999.9,1282.051282051282,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,35.46294538333332,-78.8580959820513,155.3766666666667,41.62307692307692,23.871794871794872,923.1564102564099,21.73076923076923,6092.255128205133,9.961538461538463,283.6910256410257,20.628205128205128,111.51794871794873,21.435897435897434,55.117948717948714,22.628205128205128,60.5923076923077,710.2294871794878,55.58589743589744,30.41282051282052,0.0,999.9,0.0,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,35.46294538333332,-78.8580959820513,155.3766666666667,50.21923076923078,23.93589743589743,933.869230769231,21.80769230769231,6092.3346153846205,10.025641025641026,283.9705128205129,20.884615384615387,111.5076923076923,21.5,54.63717948717951,22.7051282051282,72.2897435897436,710.3935897435904,64.05641025641026,37.43846153846154,2.5638461538461543,999.9,256.4102564102564,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,35.46294538333332,-78.8580959820513,155.3766666666667,62.40897435897434,23.30769230769231,949.103846153846,21.41025641025641,6088.889743589749,8.628205128205128,379.3141025641025,20.7051282051282,110.37307692307695,21.166666666666668,58.019230769230774,22.07692307692308,65.76153846153846,161.23333333333338,70.58717948717948,52.77948717948717,14.13525641025641,999.9,15128.205128205127,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,35.47464570131578,-78.9211160526316,159.32894736842104,66.20394736842103,23.61842105263158,1106.7131578947367,21.157894736842106,6220.1842105263195,8.078947368421053,437.69078947368445,20.855263157894736,113.32631578947372,21.19736842105263,61.29078947368424,22.328947368421048,71.1434210526316,145.1460526315789,71.00263157894737,58.16447368421053,14.841973684210524,999.9,13685.263157894737,10587,10490,9861,726.0,9787,703.0,28615585.0,21077,108,2020-03-30,218.2702,10611862,48618,3,Democratic,Republican,NC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
