,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,47.75638018863638,-100.69927752272729,548.8184090909091,28.84999999999999,24.0,931.5113636363632,21.704545454545453,5293.293181818181,12.227272727272727,956.125,11.886363636363635,122.2613636363636,21.272727272727273,98.4409090909091,21.818181818181817,103.26363636363637,643.6000000000003,36.222727272727276,19.420454545454547,31.82113636363636,932.2795454545462,7090.909090909091,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,47.75638018863638,-100.69927752272729,548.8184090909091,29.84090909090909,23.84090909090909,934.0795454545453,21.113636363636363,5295.636363636362,11.590909090909092,959.5909090909096,14.659090909090908,121.58181818181816,21.113636363636363,99.24545454545456,21.65909090909091,105.02045454545454,398.58636363636367,34.020454545454534,26.05681818181819,40.915454545454544,909.5545454545461,3659.090909090909,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,47.75638018863638,-100.69927752272729,548.8184090909091,24.71136363636364,23.818181818181817,701.1909090909091,21.63636363636364,5300.888636363634,11.454545454545455,967.6522727272729,14.795454545454545,121.14090909090906,21.09090909090909,98.83636363636364,21.40909090909091,107.67499999999997,335.47954545454536,30.83863636363637,16.490909090909092,36.372727272727275,887.1954545454553,5568.181818181818,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,47.75638018863638,-100.69927752272729,548.8184090909091,20.324999999999992,24.0,697.2545454545453,22.09090909090909,5301.581818181819,12.295454545454545,969.4318181818184,14.795454545454545,122.30681818181816,21.272727272727273,97.54772727272726,21.818181818181817,103.52045454545458,732.5022727272731,33.68181818181818,7.261363636363634,2.2736363636363635,909.8750000000008,6863.636363636364,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,47.75638018863638,-100.69927752272729,548.8184090909091,30.99999999999999,23.97727272727273,703.3613636363636,21.681818181818183,5301.7136363636355,12.295454545454545,968.7886363636368,14.772727272727273,122.34545454545454,21.272727272727273,107.13863636363637,21.795454545454547,119.51136363636364,128.70000000000002,40.44090909090908,22.256818181818186,45.45068181818181,932.2159090909097,4386.363636363636,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,47.75638018863638,-100.69927752272729,548.8184090909091,22.438636363636366,23.181818181818183,696.8681818181817,21.363636363636363,5302.740909090906,12.25,970.3295454545457,14.227272727272727,122.4681818181818,20.454545454545453,78.17045454545456,21.204545454545453,89.8272727272727,96.29772727272724,32.47727272727273,12.847727272727274,6.817727272727272,909.8386363636367,90.9090909090909,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,47.75638018863638,-100.69927752272729,548.8184090909091,14.334090909090907,22.88636363636364,688.0931818181821,21.25,5305.295454545453,11.068181818181818,972.518181818182,14.727272727272727,122.475,20.15909090909091,77.72954545454544,21.227272727272727,83.43181818181819,534.2727272727275,27.43636363636363,3.043181818181819,24.9975,909.8386363636367,272.72727272727275,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,47.7163052575,-100.59744029999999,542.062,3.3974999999999995,23.2,997.6424999999997,20.8,6182.959999999997,9.1,970.7225000000003,16.25,133.2525,20.2,85.95749999999997,21.4,96.3875,102.85500000000002,11.81,-5.73,49.99575,900.8025000000004,5650.0,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,47.7163052575,-100.59744029999999,542.062,12.349999999999998,23.825,757.0749999999997,22.025,5728.359999999999,10.075,962.5350000000003,16.2,133.08750000000003,20.825,86.235,22.025,94.36249999999998,149.05249999999995,19.8875,5.477499999999999,59.99874999999999,900.8025000000004,775.0,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,47.75638018863638,-100.69927752272729,548.8184090909091,-1.025,24.0,901.2545454545453,21.818181818181817,5309.095454545453,11.636363636363635,975.6204545454547,14.818181818181818,122.43636363636364,21.272727272727273,78.13181818181819,22.34090909090909,84.88863636363638,223.18409090909088,9.69772727272727,-8.475,13.634999999999998,909.8113636363645,159.0909090909091,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,47.75638018863638,-100.69927752272729,548.8184090909091,-2.8499999999999988,23.272727272727273,900.9795454545456,21.09090909090909,5307.438636363635,11.568181818181818,975.011363636364,14.727272727272727,122.11363636363636,20.545454545454547,77.10909090909091,21.63636363636364,85.05681818181817,379.6340909090908,6.986363636363637,-10.711363636363636,31.81522727272727,932.4113636363644,409.09090909090907,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,47.75638018863638,-100.69927752272729,548.8184090909091,9.138636363636358,23.20454545454545,684.8068181818182,21.568181818181817,5303.109090909089,11.477272727272727,970.6545454545455,14.795454545454545,122.16590909090912,20.477272727272727,79.09545454545452,21.568181818181817,85.28863636363634,201.10454545454544,16.674999999999994,3.777272727272727,47.72295454545454,909.7931818181823,590.9090909090909,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,47.73713007857143,-100.66547297619049,544.9804761904763,10.557142857142855,23.380952380952376,721.0619047619048,21.66666666666667,5507.23095238095,10.095238095238095,968.7809523809527,15.5,125.74047619047623,20.595238095238095,78.85,21.66666666666667,85.26904761904761,649.6738095238097,16.914285714285715,4.480952380952381,61.89904761904759,905.5023809523816,19857.14285714286,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
13,13,2020-01-14,47.73713007857143,-100.66547297619049,544.9804761904763,-3.6380952380952394,23.452380952380953,705.5285714285711,21.714285714285715,5510.340476190472,11.071428571428573,971.0619047619048,15.142857142857142,126.23333333333332,20.595238095238095,81.65,21.73809523809524,88.60238095238094,325.3023809523809,8.807142857142855,-13.109523809523811,61.90261904761903,905.4857142857147,809.5238095238095,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
14,14,2020-01-15,47.76007084047621,-100.6259023095238,541.955,-10.323809523809526,23.714285714285715,698.1666666666665,22.0,5301.369047619046,10.69047619047619,977.3428571428576,14.928571428571427,125.76666666666664,20.857142857142858,80.8952380952381,21.928571428571423,86.86666666666667,556.7738095238096,-6.311904761904763,-16.916666666666668,61.91166666666665,905.6166666666671,5595.2380952380945,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
15,15,2020-01-16,47.76007084047621,-100.6259023095238,541.955,-16.059523809523814,23.761904761904763,691.8238095238095,22.047619047619047,5305.895238095237,12.238095238095234,864.3285714285716,14.904761904761903,127.65476190476187,20.904761904761905,78.92142857142858,22.047619047619047,87.53809523809522,442.34285714285716,-4.580952380952381,-25.071428571428577,14.291428571428574,905.6071428571436,166.66666666666666,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
16,16,2020-01-17,47.76007084047621,-100.6259023095238,541.955,2.0595238095238093,23.92857142857143,711.6547619047618,22.190476190476193,5295.514285714284,11.547619047619047,972.5809523809528,14.833333333333336,126.15952380952385,21.071428571428573,83.40714285714282,22.190476190476193,91.69999999999996,283.6238095238095,16.7,-9.345238095238095,61.8988095238095,881.8928571428578,12928.571428571431,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
17,17,2020-01-18,47.76007084047621,-100.6259023095238,541.955,-1.8357142857142863,23.952380952380953,707.1738095238098,22.23809523809524,5511.369047619045,10.761904761904765,973.0857142857147,14.952380952380953,123.21190476190478,21.11904761904762,91.7238095238095,22.23809523809524,98.7595238095238,106.1142857142857,9.711904761904762,-9.088095238095235,61.920238095238076,905.9071428571435,10309.52380952381,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
18,18,2020-01-19,47.76007084047621,-100.6259023095238,541.955,-7.233333333333332,24.0,701.3309523809523,22.285714285714285,5304.592857142856,12.428571428571427,933.8357142857144,14.928571428571427,127.16666666666669,21.142857142857142,82.15476190476191,21.857142857142854,90.16904761904762,235.34285714285718,0.8761904761904764,-12.083333333333336,21.427380952380954,905.9357142857148,309.5238095238095,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
19,19,2020-01-20,47.76007084047621,-100.6259023095238,541.955,-3.0642857142857145,24.0,705.6642857142857,22.285714285714285,5304.138095238093,12.523809523809526,863.3380952380952,14.904761904761903,127.76904761904758,21.142857142857142,77.96190476190478,22.285714285714285,85.28095238095239,626.7333333333336,13.999999999999995,-14.104761904761903,2.381666666666667,905.9642857142862,47.61904761904761,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
20,20,2020-01-21,47.77827818863637,-100.6615055227273,545.9304545454546,17.815909090909084,23.13636363636364,692.3704545454542,21.38636363636364,5506.609090909089,12.0,971.9363636363637,14.227272727272727,122.27272727272728,20.40909090909091,78.31363636363636,21.5,84.17045454545456,512.159090909091,32.48636363636364,9.509090909090908,2.272954545454545,887.5068181818187,2295.454545454545,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
21,21,2020-01-22,47.77827818863637,-100.6615055227273,545.9304545454546,22.475,23.09090909090909,1153.3386363636364,20.227272727272727,5095.079545454544,11.863636363636365,967.7159090909096,14.068181818181818,121.85,20.363636363636363,73.77727272727272,21.431818181818183,79.29318181818184,844.0750000000006,31.32954545454545,12.888636363636365,4.545227272727273,910.1340909090917,13954.545454545454,1117,1182,1091,26.0,1157,25.0,1012102.0,2299,11,,11.0393,761723,69001,17,Republican,Republican,ND,Midwest,West North Central,,,,,,,,,,,,,,,,,,,,,,,
