,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,35.57576325,-97.34198607142856,356.63875,40.62678571428571,23.910714285714285,560.4696428571431,22.625,6950.148214285718,8.142857142857142,971.8017857142858,17.303571428571427,63.00892857142858,22.625,62.24464285714286,22.607142857142854,72.71071428571429,115.57321428571429,56.25357142857143,29.601785714285718,0.0,999.9000000000008,0.0,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,35.57576325,-97.34198607142856,356.63875,47.84464285714285,23.964285714285715,572.6321428571428,22.67857142857143,6946.569642857145,7.928571428571429,964.0678571428572,21.5,62.846428571428575,22.67857142857143,60.59821428571429,22.67857142857143,67.17678571428571,405.6803571428573,57.53035714285716,38.891071428571415,0.0,999.9000000000008,7321.428571428572,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,35.57576325,-97.34198607142856,356.63875,45.601785714285704,23.892857142857146,570.4482142857144,22.607142857142854,6790.087500000002,7.7142857142857135,972.2553571428572,21.660714285714285,62.63035714285714,22.607142857142854,61.84642857142857,22.57142857142857,67.85714285714285,160.56607142857143,54.83214285714285,37.5642857142857,1.7855357142857142,999.9000000000008,9107.142857142857,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,35.57576325,-97.34198607142856,356.63875,39.69107142857144,23.892857142857146,560.0392857142857,22.607142857142854,6794.337500000002,8.571428571428571,858.5107142857145,21.839285714285715,63.00357142857143,22.607142857142854,57.94107142857143,22.57142857142857,62.71428571428573,736.2303571428578,53.067857142857115,28.555357142857147,1.7855357142857142,999.9000000000008,375.0,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,35.57576325,-97.34198607142856,356.63875,44.43214285714287,23.839285714285715,561.9625000000002,22.55357142857143,6793.91428571429,8.571428571428571,857.8500000000003,21.75,62.99821428571429,22.55357142857143,61.50714285714289,22.55357142857143,71.36607142857143,148.43571428571425,59.92678571428571,32.14107142857143,0.0,999.9000000000008,0.0,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,35.57576325,-97.34198607142856,356.63875,40.63214285714285,23.80357142857143,560.1732142857144,22.517857142857146,6793.701785714288,8.285714285714286,910.5428571428572,21.767857142857146,62.95535714285714,22.517857142857146,58.28749999999999,22.410714285714285,66.96964285714286,388.42857142857144,57.425,27.969642857142855,0.0,999.9000000000008,1964.2857142857144,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,35.57576325,-97.34198607142856,356.63875,41.339285714285715,23.875,556.1857142857141,22.589285714285715,6795.00535714286,8.232142857142858,824.4750000000003,21.857142857142854,63.00714285714286,22.589285714285715,58.76249999999999,22.5,65.27142857142857,457.14107142857165,61.24107142857143,25.964285714285698,0.0,999.9000000000008,17.857142857142858,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,35.57576325,-97.34198607142856,356.63875,44.56964285714286,23.82142857142857,557.0214285714285,22.535714285714285,6793.139285714288,8.571428571428571,874.4589285714287,21.803571428571423,63.019642857142856,22.535714285714285,61.80178571428571,22.5,73.52142857142857,80.76071428571426,62.90535714285715,30.2875,0.0,999.9000000000008,0.0,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,35.57576325,-97.34198607142856,356.63875,56.226785714285704,23.67857142857143,575.5267857142858,22.339285714285715,6789.758928571432,7.625,937.8142857142856,21.517857142857146,62.93214285714286,22.392857142857146,66.00535714285716,22.392857142857146,72.65714285714286,115.61785714285713,65.44821428571429,49.41607142857143,8.92767857142857,999.9000000000008,1250.5357142857142,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,35.57576325,-97.34198607142856,356.63875,56.52499999999999,23.964285714285715,586.2053571428571,22.57142857142857,6789.032142857145,5.571428571428571,971.0839285714287,22.0,61.608928571428535,22.660714285714285,62.110714285714295,22.607142857142854,74.80714285714284,83.025,66.20535714285714,42.36964285714286,37.59035714285713,999.9000000000008,40576.78571428572,2249,2085,2238,11.0,2075,10.0,3199021.0,4334,90,,57.6547,3954821,68595,20,Republican,Republican,OK,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
