,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,44.18793972972973,-121.85720459459458,487.3864864864866,47.10000000000001,23.756756756756765,2463.875675675675,17.94594594594595,2957.748648648648,13.891891891891891,643.0108108108109,14.054054054054054,249.2486486486486,17.94594594594595,143.2,20.45945945945946,151.97297297297294,316.754054054054,52.008108108108104,38.63783783783783,5.706756756756757,999.9000000000008,20837.83783783784,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,44.18793972972973,-121.85720459459458,487.3864864864866,43.05405405405406,23.94594594594595,2460.232432432432,18.16216216216216,2961.4243243243236,16.40540540540541,619.783783783784,17.513513513513512,249.97027027027022,18.16216216216216,140.06486486486486,20.567567567567572,146.49999999999997,630.7891891891894,50.96216216216217,38.089189189189185,2.791621621621622,999.9000000000008,18675.67567567568,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,44.18793972972973,-121.85720459459458,487.3864864864866,43.708108108108114,23.89189189189189,2458.6621621621616,18.135135135135137,2961.4351351351347,17.486486486486488,619.8810810810811,17.432432432432428,250.31351351351344,18.10810810810811,141.26216216216213,20.64864864864865,146.58378378378373,604.1405405405408,54.11621621621622,35.74324324324323,2.729189189189189,999.9000000000008,7378.378378378377,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,44.18793972972973,-121.85720459459458,487.3864864864866,43.90270270270271,23.91891891891892,2457.710810810811,18.10810810810811,2962.832432432432,17.10810810810811,620.9189189189192,17.486486486486488,250.31351351351344,18.10810810810811,142.5351351351351,20.567567567567572,152.48918918918918,291.5135135135135,54.42972972972972,34.99189189189188,5.5991891891891905,999.9000000000008,8729.72972972973,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,44.18793972972973,-121.85720459459458,487.3864864864866,39.82972972972973,23.94594594594595,2457.4891891891893,18.16216216216216,2968.7594594594584,16.378378378378383,599.0216216216218,17.486486486486488,250.1756756756756,18.16216216216216,140.95135135135138,20.702702702702698,149.07027027027024,419.75675675675666,47.99189189189189,34.148648648648646,8.182432432432432,999.9000000000008,11864.864864864863,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,44.18793972972973,-121.85720459459458,487.3864864864866,41.62432432432433,23.864864864864863,2459.0108108108107,18.135135135135137,2970.2459459459446,16.45945945945946,600.1486486486486,17.486486486486488,249.8621621621621,18.135135135135137,143.4594594594594,20.594594594594593,149.1972972972973,447.1135135135135,48.2081081081081,35.791891891891886,2.8664864864864863,999.9000000000008,9594.594594594597,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,44.220283421052635,-121.90877815789473,474.8578947368422,44.755263157894746,23.52631578947368,2396.507894736842,17.894736842105264,3148.2447368421044,16.263157894736842,604.9184210526316,17.263157894736842,243.68684210526317,17.894736842105264,139.85526315789474,20.34210526315789,145.75526315789472,436.0026315789472,50.926315789473676,38.47105263157895,5.429736842105262,999.9000000000008,15289.473684210527,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,44.220283421052635,-121.90877815789473,474.8578947368422,42.25526315789474,24.0,2396.0026315789473,18.315789473684212,3141.8657894736834,14.657894736842106,625.4263157894737,17.684210526315788,243.4210526315789,18.315789473684212,137.5210526315789,20.736842105263158,144.02105263157895,485.378947368421,50.29210526315789,36.32631578947368,10.679210526315789,999.9000000000008,14447.368421052632,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,44.220283421052635,-121.90877815789473,474.8578947368422,36.53157894736843,23.947368421052627,2392.9578947368423,18.315789473684212,3144.9605263157896,13.289473684210524,601.8026315789475,17.605263157894736,242.8526315789473,18.315789473684212,135.23157894736838,20.789473684210527,140.90526315789472,690.4605263157898,44.46578947368422,30.023684210526323,8.110526315789471,999.9000000000008,45526.315789473694,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,44.220283421052635,-121.90877815789473,474.8578947368422,36.54473684210526,24.0,2392.010526315789,18.315789473684212,3148.281578947368,15.447368421052632,604.6289473684212,17.657894736842106,243.65789473684205,18.315789473684212,137.5447368421053,20.57894736842105,148.2315789473684,412.51315789473676,45.021052631578954,28.681578947368426,7.919999999999999,999.9000000000008,18868.421052631584,4184,4239,4041,143.0,4080,159.0,9587197.0,8423,37,2020-03-23,44.8086,4301089,95988,-5,Democratic,Democratic,OR,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,
