,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,40.57985029743589,-77.56122268205127,271.65717948717946,34.04615384615384,23.84615384615385,790.6923076923077,22.025641025641022,3083.720512820513,16.23076923076923,951.0128205128206,18.025641025641026,85.54871794871798,22.025641025641022,34.912820512820524,23.23076923076923,92.05897435897434,124.47692307692309,42.146153846153844,28.971794871794877,15.413589743589739,999.9000000000008,5487.179487179487,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,40.57985029743589,-77.56122268205127,271.65717948717946,34.42051282051281,23.948717948717945,791.3230769230768,22.102564102564106,3086.582051282051,18.128205128205128,825.625641025641,21.487179487179485,85.96153846153848,22.102564102564106,29.971794871794874,23.28205128205128,85.86666666666667,572.2871794871796,47.11282051282051,24.371794871794876,0.0020512820512820517,948.7538461538468,0.0,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,40.57985029743589,-77.56122268205127,271.65717948717946,44.843589743589746,23.84615384615385,806.8358974358973,22.051282051282055,3084.0923076923077,12.82051282051282,951.3820512820513,21.435897435897434,82.97179487179491,22.025641025641022,27.96666666666667,23.23076923076923,83.89487179487178,798.8461538461542,47.9846153846154,38.761538461538464,10.332307692307692,974.3128205128212,51794.8717948718,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,40.57985029743589,-77.56122268205127,271.65717948717946,45.17179487179488,23.948717948717945,808.7717948717946,21.69230769230769,3081.058974358974,9.76923076923077,948.7128205128207,20.923076923076927,80.87948717948717,22.102564102564106,29.08717948717949,23.33333333333333,87.58461538461539,496.52051282051286,50.710256410256406,38.64871794871795,10.481282051282047,999.9000000000008,93256.41025641024,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,40.57985029743589,-77.56122268205127,271.65717948717946,34.73846153846155,23.871794871794872,791.7384615384617,22.025641025641022,3087.415384615384,15.769230769230768,928.8923076923076,21.46153846153846,85.45128205128208,22.025641025641022,36.07435897435896,23.256410256410252,94.05384615384615,103.12820512820512,45.49230769230769,31.461538461538453,15.433846153846154,999.9000000000008,5615.384615384615,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,40.57985029743589,-77.56122268205127,271.65717948717946,36.58205128205128,23.615384615384613,792.0487179487178,21.615384615384613,3088.9256410256403,15.923076923076925,751.2564102564104,21.28205128205128,85.55384615384617,21.743589743589745,33.01794871794872,22.974358974358967,91.45128205128206,123.81282051282051,44.576923076923094,29.905128205128204,10.268717948717953,999.9000000000008,4487.179487179487,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,40.57985029743589,-77.56122268205127,271.65717948717946,33.405128205128214,23.871794871794872,789.9999999999999,21.66666666666667,3090.0333333333333,17.0,726.8307692307692,21.384615384615387,85.11025641025644,22.025641025641022,29.151282051282053,23.256410256410252,86.15128205128207,622.5307692307694,43.084615384615404,26.49743589743589,10.259999999999998,923.1461538461547,34948.717948717946,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,40.57985029743589,-77.56122268205127,271.65717948717946,30.24358974358973,23.871794871794872,789.5076923076923,22.0,3090.5153846153844,13.871794871794872,752.4923076923077,21.384615384615387,83.82564102564103,22.0,34.42564102564102,23.256410256410252,95.87692307692308,105.95384615384614,37.75641025641025,23.14615384615384,15.46051282051282,923.1179487179493,51358.97435897437,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,40.57985029743589,-77.56122268205127,271.65717948717946,24.32564102564103,23.871794871794872,778.6948717948718,22.025641025641022,3104.6820512820514,18.179487179487182,563.4435897435898,21.358974358974358,86.0923076923077,22.0,30.70769230769231,23.2051282051282,90.05384615384615,298.97435897435895,35.684615384615384,14.771794871794874,5.137948717948717,897.5384615384621,461.5384615384616,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,40.57985029743589,-77.56122268205127,271.65717948717946,38.292307692307695,23.923076923076927,794.8692307692309,22.102564102564106,3101.3820512820507,17.41025641025641,585.7615384615383,21.538461538461537,85.7666666666667,22.102564102564106,30.523076923076907,23.30769230769231,86.83333333333331,421.79743589743583,50.37435897435898,24.964102564102568,12.826410256410258,923.0974358974364,9743.589743589744,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
10,10,2020-01-11,40.57985029743589,-77.56122268205127,271.65717948717946,54.36923076923078,23.71794871794872,812.9102564102565,22.128205128205128,3092.9179487179485,16.974358974358974,602.7256410256407,21.538461538461537,85.50256410256415,22.128205128205128,32.48461538461538,23.102564102564106,91.09230769230768,125.86410256410255,66.38717948717948,38.17179487179488,10.324871794871797,948.6846153846159,14615.384615384617,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
11,11,2020-01-12,40.57985029743589,-77.56122268205127,271.65717948717946,55.16923076923078,23.794871794871803,811.030769230769,22.0,3090.407692307692,16.307692307692307,727.5230769230769,21.46153846153846,85.6948717948718,21.923076923076927,36.46666666666667,23.153846153846153,98.18461538461537,110.1153846153846,66.52051282051282,40.46410256410256,13.05358974358974,999.9000000000008,13666.666666666664,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
12,12,2020-01-13,40.57985029743589,-77.56122268205127,271.65717948717946,39.50000000000001,23.66666666666667,799.2923076923074,22.051282051282055,3098.4051282051278,16.923076923076927,582.7666666666668,21.41025641025641,86.08461538461542,22.025641025641022,28.82307692307693,22.794871794871803,85.45897435897436,697.6564102564105,51.25384615384616,33.03076923076923,0.05333333333333334,999.9000000000008,0.0,9315,9385,8527,788.0,8648,737.0,19196110.0,18700,177,2020-04-01,286.5449,12820878,44743,0,Democratic,Both,PA,Northeast,Middle Atlantic,,,,,,,,,,,,,,,,,,,,,,,
