,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,41.58078095000001,-71.44293380714284,27.82142857142857,38.378571428571426,22.285714285714285,5014.164285714286,10.571428571428571,2930.764285714285,17.714285714285715,784.7142857142856,7.142857142857142,575.6428571428571,8.857142857142858,150.57857142857142,18.285714285714285,155.42142857142858,651.0214285714285,41.857142857142854,34.8,0.03642857142857143,999.8999999999997,2142.8571428571427,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,41.58078095000001,-71.44293380714284,27.82142857142857,37.72142857142858,23.0,5012.635714285714,11.142857142857142,2937.4785714285717,18.571428571428573,645.6428571428571,9.357142857142858,575.6571428571427,9.428571428571429,149.9,19.428571428571427,153.95000000000005,719.4999999999999,46.721428571428575,31.957142857142852,0.0,999.8999999999997,0.0,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,41.58078095000001,-71.44293380714284,27.82142857142857,44.75714285714287,23.357142857142854,5019.478571428573,11.357142857142858,2935.7,17.642857142857142,644.5642857142857,9.571428571428571,575.5785714285712,9.642857142857142,148.57857142857142,19.714285714285715,151.82142857142858,929.5499999999997,47.31428571428571,39.785714285714285,0.002142857142857143,999.8999999999997,1428.571428571429,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,41.58078095000001,-71.44293380714284,27.82142857142857,44.235714285714295,23.142857142857146,5021.464285714284,11.214285714285712,3575.3,13.142857142857142,714.2214285714284,9.5,572.9285714285712,9.5,145.37142857142857,19.5,148.92857142857142,999.8999999999997,46.585714285714296,42.54285714285713,7.1571428571428575,999.8999999999997,25714.285714285717,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,41.58078095000001,-71.44293380714284,27.82142857142857,38.66428571428571,22.92857142857143,5014.257142857142,10.928571428571427,2930.378571428572,16.5,856.1571428571428,9.071428571428571,575.1928571428572,9.214285714285714,153.42857142857142,19.071428571428573,159.46428571428572,653.5785714285712,44.171428571428564,34.457142857142856,0.09357142857142857,999.8999999999997,17857.14285714286,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,41.57952333076923,-71.44530333076922,29.515384615384622,32.638461538461534,24.0,5395.538461538462,11.076923076923077,2395.384615384615,18.53846153846154,694.8846153846154,9.23076923076923,619.0384615384614,9.23076923076923,157.77692307692308,19.923076923076927,162.8,698.2461538461537,39.06153846153847,28.307692307692303,0.02615384615384616,999.8999999999997,2615.384615384615,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,41.58078095000001,-71.44293380714284,27.82142857142857,36.714285714285715,23.142857142857146,5012.042857142857,11.142857142857142,2941.078571428571,17.428571428571427,647.4571428571427,9.428571428571429,575.6499999999999,9.428571428571429,147.65,19.285714285714285,152.53571428571428,789.7214285714284,41.82857142857143,30.635714285714286,0.0014285714285714286,999.8999999999997,0.0,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,41.58078095000001,-71.44293380714284,27.82142857142857,34.74285714285714,23.285714285714285,5014.107142857143,11.428571428571427,2936.671428571429,15.571428571428573,645.1071428571429,9.714285714285714,574.9357142857143,9.714285714285714,149.85714285714286,19.5,157.77142857142857,584.2142857142857,40.80714285714287,29.514285714285712,7.172857142857143,999.8999999999997,9000.0,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,41.58078095000001,-71.44293380714284,27.82142857142857,26.935714285714287,23.285714285714285,5003.228571428571,11.357142857142858,2953.1857142857148,17.5,583.0071428571428,9.571428571428571,575.6571428571427,9.714285714285714,152.59285714285716,19.214285714285715,160.35714285714286,654.4999999999999,36.51428571428572,20.79285714285714,0.008571428571428572,999.8999999999997,0.0,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,41.58078095000001,-71.44293380714284,27.82142857142857,37.77142857142857,23.42857142857143,5014.928571428572,11.428571428571427,2956.5214285714287,17.642857142857142,584.2642857142856,9.714285714285714,575.5857142857143,9.714285714285714,149.00714285714284,19.642857142857142,155.04285714285714,650.2142857142857,48.971428571428575,23.614285714285714,0.0,999.8999999999997,0.0,898,945,864,34.0,915,30.0,1680826.0,1843,11,2020-03-28,1021.4323,1056161,1034,-10,Democratic,Democratic,RI,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
