,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,33.84966880185185,-80.70845562777775,97.17555555555559,47.525925925925925,23.555555555555557,953.427777777778,21.35185185185185,6339.359259259261,9.407407407407408,465.1962962962964,15.703703703703706,174.8648148148148,19.574074074074076,42.655555555555566,22.62962962962963,47.34259259259261,398.9074074074076,58.45555555555556,37.48518518518517,1.851851851851852,999.9000000000008,185.1851851851852,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,33.84966880185185,-80.70845562777775,97.17555555555559,46.648148148148145,23.407407407407412,959.1796296296292,21.185185185185187,6506.875925925928,9.0,467.25925925925935,18.944444444444443,156.3259259259259,19.555555555555557,38.8648148148148,22.51851851851852,79.82407407407408,999.9000000000008,56.05555555555557,39.005555555555546,37.03685185185185,999.9000000000008,6296.296296296297,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,33.84966880185185,-80.70845562777775,97.17555555555559,58.672222222222224,23.759259259259263,975.4111111111107,21.537037037037038,6339.061111111111,7.037037037037037,464.25925925925935,19.296296296296298,154.8444444444444,20.14814814814815,42.370370370370395,22.83333333333333,49.164814814814825,347.3851851851851,69.32592592592593,46.5148148148148,31.571296296296293,999.9000000000008,29074.259259259263,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,33.84966880185185,-80.70845562777775,97.17555555555559,62.172222222222224,23.722222222222218,977.7277777777773,21.5,6504.0944444444485,7.111111111111112,498.7666666666668,19.259259259259263,154.7944444444445,20.12962962962963,44.4314814814815,22.83333333333333,53.50925925925925,170.90925925925924,69.09259259259258,54.79444444444446,48.445925925925906,999.9000000000008,26667.03703703704,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,33.84966880185185,-80.70845562777775,97.17555555555559,46.40925925925927,23.944444444444446,952.8333333333336,21.740740740740737,6340.312962962963,9.592592592592592,414.16296296296287,19.48148148148148,156.4907407407407,20.407407407407412,44.4074074074074,23.037037037037038,53.72037037037036,189.27222222222218,61.24629629629632,35.451851851851856,3.7642592592592585,999.9000000000008,370.3703703703704,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,33.84966880185185,-80.70845562777775,97.17555555555559,46.564814814814824,23.944444444444446,956.1185185185187,21.722222222222218,6174.085185185186,9.611111111111109,414.37222222222226,19.48148148148148,156.4351851851852,20.38888888888889,40.31111111111108,23.01851851851852,45.0537037037037,762.7037037037043,62.01851851851854,35.38333333333333,1.8516666666666663,999.9000000000008,185.1851851851852,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,33.84966880185185,-80.70845562777775,97.17555555555559,48.890740740740775,23.98148148148148,962.0537037037037,21.777777777777782,6340.577777777779,9.111111111111109,467.36666666666673,19.537037037037038,156.3055555555555,20.444444444444443,41.714814814814844,23.074074074074073,52.061111111111096,168.56666666666666,62.988888888888866,38.4537037037037,29.628888888888888,999.9000000000008,7037.222222222223,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,33.84966880185185,-80.70845562777775,97.17555555555559,46.06296296296297,23.83333333333333,952.3796296296292,21.574074074074073,6176.0055555555555,9.851851851851851,343.8685185185185,19.37037037037037,156.39074074074077,20.277777777777782,40.65740740740742,22.944444444444446,65.75925925925925,417.2240740740741,62.56296296296296,32.45740740740742,3.7146296296296297,999.9000000000008,6111.11111111111,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,33.84966880185185,-80.70845562777775,97.17555555555559,46.457407407407416,23.555555555555557,955.5111111111113,21.35185185185185,6345.398148148148,9.25925925925926,276.6037037037037,18.98148148148148,156.4629629629629,20.01851851851852,40.47962962962965,22.64814814814815,46.603703703703715,489.60185185185213,62.14629629629629,33.540740740740745,1.851851851851852,999.9000000000008,2222.222222222222,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,33.84966880185185,-80.70845562777775,97.17555555555559,55.059259259259264,23.81481481481481,967.0351851851852,21.592592592592588,6345.3370370370385,9.074074074074074,276.2574074074074,19.33333333333333,156.2759259259259,20.259259259259263,41.081481481481475,22.907407407407412,46.10555555555556,653.718518518519,66.05000000000001,47.23333333333331,11.112777777777774,999.9000000000008,2222.4074074074074,3245,3172,3151,94.0,3102,70.0,4953795.0,6417,65,2020-04-07,173.3174,5210095,30061,8,Republican,Republican,SC,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
