,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,30.682346822926817,-97.8225002282927,288.81229268292685,50.41512195121951,23.609756097560968,1492.5814634146338,20.312195121951216,5486.134146341469,11.180487804878046,698.9799999999993,15.760975609756098,168.9692682926831,19.86829268292683,49.48341463414633,22.40975609756098,76.12780487804876,542.0565853658528,58.41073170731707,43.526829268292715,5.866829268292682,999.8999999999963,3268.292682926829,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,30.66053672463767,-97.8343601130435,287.66338164251204,55.73429951690821,23.53623188405797,1537.7067632850244,20.265700483091788,5437.13333333334,10.48792270531401,800.2125603864728,19.236714975845413,171.54492753623202,19.88405797101449,50.17149758454104,22.43478260869565,75.89371980676327,475.33574879226995,63.176328502415416,50.24975845410629,6.325603864734298,999.8999999999963,12951.69082125604,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,30.66053672463767,-97.8343601130435,287.66338164251204,54.73236714975843,23.71980676328502,1535.184057971014,20.09178743961353,5440.254589371985,10.792270531400966,790.5951690821254,19.236714975845413,171.52173913043492,19.922705314009658,50.44251207729465,22.657004830917874,68.04444444444447,291.8410628019325,63.743961352657,47.33381642512077,4.860724637681158,999.8999999999963,31985.55555555556,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,30.66053672463767,-97.8343601130435,287.66338164251204,50.424154589371994,23.777777777777782,1525.1937198067626,20.256038647342997,5447.480193236718,12.028985507246375,550.5497584541059,19.24154589371981,172.5386473429953,19.869565217391305,48.892753623188455,22.68599033816425,73.83623188405792,677.438164251206,66.04106280193237,37.04879227053142,0.001497584541062802,999.8999999999963,48.30917874396136,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,30.66053672463767,-97.8343601130435,287.66338164251204,54.09855072463769,23.83091787439613,1526.487439613526,20.227053140096622,5448.0188405797135,11.975845410628018,541.570531400966,19.15458937198068,172.4246376811595,19.816425120772948,49.322705314009674,22.743961352657013,71.13236714975844,304.1951690821259,70.50386473429951,40.570531400966175,0.0006280193236714976,999.8999999999963,7294.6859903381655,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,30.66053672463767,-97.8343601130435,287.66338164251204,54.19227053140099,23.835748792270532,1529.7067632850244,20.178743961352662,5445.5328502415505,11.816425120772946,620.1439613526567,19.236714975845413,172.29710144927543,19.874396135265698,48.540096618357495,22.758454106280194,70.15120772946861,517.5275362318835,69.97874396135265,40.89710144927537,0.0018357487922705316,999.8999999999963,14009.661835748791,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,30.66053672463767,-97.8343601130435,287.66338164251204,52.73623188405798,23.792270531400966,1522.0835748792279,20.30434782608696,5448.243478260874,11.652173913043477,513.413526570048,19.28985507246377,172.49516908212573,19.956521739130434,49.364251207729474,22.681159420289852,66.02367149758453,517.2888888888881,66.51497584541062,38.685990338164224,0.00048309178743961346,999.8999999999963,1932.3671497584546,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,30.648024528846143,-97.82492568942308,286.28038461538466,50.73221153846154,23.75480769230769,1515.280769230769,20.240384615384613,5469.308173076928,11.971153846153848,528.6201923076922,19.240384615384613,171.7504807692309,19.860576923076927,50.17836538461536,22.649038461538463,69.1144230769231,235.43317307692317,67.13125000000002,37.20240384615383,0.4832692307692307,999.8999999999963,144.27884615384616,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,30.620263977619036,-97.80928988904765,283.59819047619044,62.99904761904757,23.57619047619048,1520.4638095238095,20.104761904761904,5507.961904761911,10.728571428571428,673.8595238095232,19.066666666666666,169.98428571428582,19.771428571428565,48.877619047619035,22.604761904761904,65.09190476190477,216.249523809524,167.1557142857143,150.68095238095242,5.2424285714285705,999.8999999999963,4714.333333333333,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,30.620263977619036,-97.80928988904765,283.59819047619044,65.96190476190479,23.785714285714285,1525.265714285714,20.357142857142858,5505.179047619054,10.152380952380954,750.6771428571426,19.271428571428565,169.55761904761914,19.97142857142857,54.59380952380948,22.73809523809524,72.14761904761905,191.50571428571442,72.40952380952379,60.74761904761904,8.577285714285713,999.8999999999963,7159.2380952380945,28820,28285,25247,3573.0,24823,3462.0,77123292.0,57105,365,2020-04-02,112.8204,29472295,261232,8,Republican,Republican,TX,South,West South Central,,,,,,,,,,,,,,,,,,,,,,,
