,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,44.12785545454546,-72.61069363636366,220.79090909090908,31.67272727272728,23.363636363636363,26.91818181818182,23.363636363636363,3455.1090909090913,13.272727272727273,973.8454545454547,19.90909090909091,98.10909090909092,21.63636363636364,95.79999999999997,21.545454545454547,102.79090909090912,198.28181818181815,34.76363636363636,27.96363636363636,27.33,909.1818181818179,23545.454545454544,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,44.10595016923077,-72.68527478461539,209.7730769230769,31.969230769230762,22.153846153846153,24.03076923076923,22.153846153846153,4466.923076923077,14.153846153846152,983.5846153846153,21.23076923076923,86.01538461538462,20.30769230769231,82.1846153846154,20.30769230769231,87.82307692307694,94.26153846153844,37.96923076923077,25.34615384615385,23.090769230769233,923.0769230769231,230.7692307692308,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,44.10595016923077,-72.68527478461539,209.7730769230769,37.60000000000001,24.0,30.06923076923077,24.0,4465.969230769229,14.307692307692307,982.4769230769231,22.153846153846153,85.84615384615383,22.153846153846153,80.13076923076923,22.153846153846153,85.23076923076924,546.1923076923076,42.3923076923077,27.23076923076923,15.383076923076922,923.0769230769231,3076.9230769230767,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,44.10595016923077,-72.68527478461539,209.7730769230769,35.207692307692305,24.0,32.984615384615395,24.0,4465.853846153847,10.23076923076923,982.0384615384617,22.153846153846153,82.8923076923077,22.153846153846153,78.31538461538463,22.153846153846153,83.06923076923077,999.8999999999997,41.738461538461536,30.56923076923077,30.78384615384615,923.2230769230767,54538.46153846153,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,44.10595016923077,-72.68527478461539,209.7730769230769,27.699999999999992,24.0,22.884615384615394,24.0,4465.553846153846,10.461538461538463,981.3230769230768,22.07692307692308,83.84615384615388,22.153846153846153,83.14615384615384,22.153846153846153,88.85384615384615,95.84615384615385,36.784615384615385,21.63076923076924,38.596153846153854,923.2230769230767,1692.3076923076926,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,44.10595016923077,-72.68527478461539,209.7730769230769,19.653846153846157,24.0,15.707692307692305,24.0,4469.153846153846,11.615384615384615,909.607692307692,22.153846153846153,83.87692307692306,22.153846153846153,79.51538461538463,22.07692307692308,84.89230769230772,697.0999999999998,31.192307692307697,10.646153846153844,38.46,923.2230769230767,24769.230769230766,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,44.10595016923077,-72.68527478461539,209.7730769230769,28.01538461538461,24.0,20.85384615384616,24.0,4470.338461538462,13.769230769230768,834.5846153846153,22.153846153846153,85.35384615384612,22.153846153846153,80.04615384615384,22.153846153846153,85.57692307692311,622.3999999999999,31.9,18.45384615384615,38.48769230769231,923.2230769230767,8538.461538461539,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,44.10595016923077,-72.68527478461539,209.7730769230769,28.392307692307693,24.0,22.753846153846155,24.0,4468.000000000001,11.230769230769232,907.9307692307692,22.153846153846153,84.0153846153846,22.153846153846153,80.86923076923077,22.153846153846153,91.54615384615386,100.18461538461537,33.71538461538461,23.58461538461539,38.479230769230774,923.2846153846153,47846.15384615384,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,44.10595016923077,-72.68527478461539,209.7730769230769,13.123076923076924,24.0,2.476923076923077,24.0,4482.646153846154,14.0,313.46153846153845,22.07692307692308,85.38461538461539,22.153846153846153,82.20769230769227,22.153846153846153,90.46923076923076,100.43846153846155,32.24615384615385,4.1692307692307695,38.48,923.2230769230767,692.3076923076923,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,44.10595016923077,-72.68527478461539,209.7730769230769,26.05384615384615,24.0,14.738461538461538,24.0,4481.007692307692,14.230769230769232,311.42307692307685,22.153846153846153,86.0,22.153846153846153,83.13846153846156,22.07692307692308,89.23846153846155,323.1076923076923,37.646153846153844,5.623076923076924,38.45769230769231,923.2230769230767,5923.076923076923,504,518,496,8.0,503,15.0,584057.0,1022,7,2020-03-25,68.1416,628061,9217,-15,Republican,Democratic*,VT,Northeast,New England,,,,,,,,,,,,,,,,,,,,,,,
