,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,37.4714959921875,-77.737736059375,158.18390625000006,42.778125,23.59375,1742.4421874999994,19.5625,5645.507812500003,11.375,585.1921875,15.046875,195.56406249999995,19.328125,68.4203125,22.25,74.81093749999998,295.5125,52.90781250000001,33.30468749999999,0.00015625,999.9000000000011,0.0,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,37.4714959921875,-77.737736059375,158.18390625000006,41.5734375,23.453125,1898.9374999999993,19.15625,5648.181250000002,11.390625,510.3234375000003,18.046875,195.52187499999997,19.09375,66.565625,22.171875,72.8296875,586.0046875000004,56.10312500000001,30.61718750000001,7.8134375,999.9000000000011,1421.875,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,37.4714959921875,-77.737736059375,158.18390625000006,49.9625,23.5,1911.2437499999992,18.90625,5646.685937500001,9.953125,586.1515625000002,18.046875,194.415625,19.078125,67.99375000000002,22.21875,72.925,539.5656250000002,56.29218749999998,40.315624999999976,11.05265625,999.9000000000011,13281.25,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,37.4714959921875,-77.737736059375,158.18390625000006,55.21406250000001,23.28125,1762.6843749999994,19.328125,5643.626562500002,9.015625,644.7484375000001,18.125,193.39218749999992,19.03125,67.015625,21.984375,74.43593750000002,435.37187500000016,60.27968749999998,46.85468749999998,14.274218750000005,999.9000000000011,28937.5,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,37.4714959921875,-77.737736059375,158.18390625000006,43.01249999999999,23.484375,1743.6171874999993,19.375,5647.4343750000035,11.03125,525.2875000000003,18.0625,195.44374999999997,19.109375,72.35000000000002,22.171875,79.58749999999998,240.22656249999997,55.81562499999999,35.39687499999999,17.35296875,999.9000000000011,4812.5,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,37.4714959921875,-77.737736059375,158.18390625000006,40.98593750000003,23.71875,1741.3734374999995,19.40625,5649.223437500002,11.578125,481.00000000000017,18.15625,195.5390625,19.1875,67.14218749999999,22.40625,73.5328125,478.7812500000003,54.2796875,31.0984375,0.0040625,999.9000000000011,156.25,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,37.4714959921875,-77.737736059375,158.18390625000006,36.7765625,23.78125,1742.6296874999994,19.625,5649.009375000002,10.65625,464.65312500000016,18.15625,194.60625,19.3125,66.0203125,22.375,76.96562500000002,436.03593750000033,50.12812499999999,29.3796875,15.6878125,968.7031250000008,20406.25,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,37.4714959921875,-77.737736059375,158.18390625000006,38.8953125,23.578125,1739.9468749999994,19.46875,5650.423437500002,11.421875,451.57499999999993,18.0625,195.3359375,19.125,70.77031250000003,22.203125,80.70937500000002,241.53749999999997,50.434375,28.81875,3.2278124999999998,984.2953125000008,6609.375,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,37.4714959921875,-77.737736059375,158.18390625000006,34.9046875,23.625,1735.4703124999994,19.5625,5658.500000000001,11.421875,385.27031250000016,18.03125,195.54375,19.25,66.2046875,22.28125,71.07187499999998,831.1671875000008,48.5203125,26.298437499999995,1.56296875,984.3078125000011,15.625,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,37.4714959921875,-77.737736059375,158.18390625000006,44.7875,23.75,1747.6749999999995,19.625,5658.110937500002,11.328125,384.87500000000017,18.203125,195.53437499999995,19.21875,66.69843750000003,22.375,72.80156250000002,571.0375000000004,60.94062499999999,29.9203125,6.249375,999.9000000000011,2656.25,11040,10964,9901,1139.0,9868,1096.0,24291223.0,22004,90,,218.4403,8626207,39490,-1,Democratic,Democratic,VA,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
