,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,38.71150416666667,-80.27767416666667,511.66666666666674,36.55,24.0,856.1833333333334,22.0,4008.066666666666,15.25,960.3249999999997,20.166666666666668,92.38333333333333,22.0,91.96666666666664,22.0,97.35833333333332,106.68333333333332,42.99166666666667,32.458333333333336,16.666666666666668,999.8999999999997,3000.0,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,38.71150416666667,-80.27767416666667,511.66666666666674,37.85,24.0,856.5250000000002,22.0,4008.941666666667,15.5,961.675,22.0,92.39166666666668,22.0,86.5,22.0,92.29166666666669,754.3416666666666,52.30833333333333,26.96666666666667,8.3325,999.8999999999997,3333.333333333333,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,38.71150416666667,-80.27767416666667,511.66666666666674,49.90000000000001,24.0,876.6083333333332,22.0,4006.116666666667,12.083333333333336,958.7000000000003,21.83333333333333,89.80000000000003,22.0,86.14999999999998,22.0,90.71666666666664,753.5083333333333,53.21666666666667,45.48333333333333,16.861666666666668,999.8999999999997,50833.33333333334,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,38.71150416666667,-80.27767416666667,511.66666666666674,48.60833333333334,24.0,875.275,21.166666666666668,4004.666666666666,10.75,956.75,21.91666666666667,89.64166666666668,22.0,88.41666666666664,22.0,96.90833333333332,104.23333333333336,56.575,37.15,16.940833333333334,999.8999999999997,67666.66666666669,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,38.71150416666667,-80.27767416666667,511.66666666666674,34.800000000000004,24.0,859.375,22.0,4012.491666666667,13.833333333333336,965.5333333333333,22.0,91.6,22.0,91.51666666666668,22.0,98.18333333333332,107.56666666666666,44.79999999999999,31.79166666666667,16.882499999999997,999.8999999999997,6500.0,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,38.71150416666667,-80.27767416666667,511.66666666666674,38.86666666666667,24.0,857.5333333333333,22.0,4012.691666666667,15.75,966.1,22.0,92.49166666666667,22.0,90.20833333333331,22.0,96.825,185.0583333333333,45.59166666666667,28.866666666666664,0.022500000000000003,916.6749999999997,833.3333333333335,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,38.71150416666667,-80.27767416666667,511.66666666666674,30.40833333333333,24.0,855.3000000000002,22.0,4012.075,13.0,964.8083333333333,21.75,90.625,22.0,86.23333333333332,21.91666666666667,92.48333333333336,673.2666666666665,42.71666666666667,23.941666666666666,16.688333333333333,916.8333333333333,60083.33333333334,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,38.71150416666667,-80.27767416666667,511.66666666666674,33.891666666666666,24.0,851.9583333333331,22.0,4014.3916666666655,15.75,967.9916666666667,21.91666666666667,92.16666666666669,22.0,92.45833333333331,21.91666666666667,101.65833333333336,112.34166666666664,38.88333333333333,24.175,16.778333333333332,833.5833333333331,18583.33333333333,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,38.71150416666667,-80.27767416666667,511.66666666666674,31.8,24.0,847.5583333333333,22.0,4022.3583333333336,16.0,728.9083333333334,22.0,92.45833333333331,22.0,86.50833333333334,22.0,92.475,673.4416666666666,50.225,19.475,0.0016666666666666668,667.4499999999998,0.0,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,38.71150416666667,-80.27767416666667,511.66666666666674,47.39166666666667,24.0,862.2666666666665,22.0,4019.5,15.916666666666664,809.6333333333333,22.0,92.46666666666668,22.0,88.93333333333334,21.91666666666667,94.68333333333332,348.475,59.44999999999999,35.49166666666667,8.3325,833.7666666666665,2500.0,532,520,531,1.0,519,1.0,340264.0,1052,37,2020-03-24,73.9691,1778070,24038,19,Republican,Both,WV,South,South Atlantic,,,,,,,,,,,,,,,,,,,,,,,
