,Unnamed: 0,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,NumInFlights,NumOutFlights,NumDomesticInFlights,NumInternationalInFlights,NumDomesticOutFlights,NumInternationalOutFlights,TotalPassengers,TotalFlights, NumHospitals, SAHDate,Density,Pop,LandArea,pvi,governorParty,senateParty,State Code,Region,Division,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,0,2020-01-01,44.46298314492755,-89.66171804782606,289.453768115942,19.20289855072463,23.7536231884058,1026.9971014492753,21.52173913043478,6349.585507246381,9.594202898550725,969.8289855072464,16.81159420289855,124.57391304347824,21.17391304347826,20.195652173913047,23.405797101449274,26.562318840579724,445.6608695652176,33.78695652173913,8.252173913043478,13.044492753623185,913.3637681159427,289.8550724637681,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020-01-02,44.46298314492755,-89.66171804782606,289.453768115942,35.37971014492753,24.0,1041.1260869565217,21.56521739130435,6346.643478260873,9.333333333333334,965.1333333333333,21.231884057971016,124.463768115942,21.217391304347824,21.775362318840585,23.6231884057971,27.83333333333334,204.16231884057976,39.98550724637681,30.320289855072463,21.73927536231884,841.3681159420297,5086.95652173913,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
2,2,2020-01-03,44.46298314492755,-89.66171804782606,289.453768115942,31.624637681159424,23.869565217391305,1037.3028985507249,21.43478260869565,6351.069565217394,9.434782608695652,974.9231884057973,21.144927536231886,124.72898550724636,21.08695652173913,19.859420289855073,23.49275362318841,25.65797101449277,444.8289855072467,36.32028985507245,28.50434782608696,2.9008695652173913,855.8000000000008,72.46376811594203,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
3,3,2020-01-04,44.46298314492755,-89.66171804782606,289.453768115942,27.25072463768116,23.85507246376812,1033.8898550724637,21.56521739130435,6354.0173913043545,8.55072463768116,981.266666666667,21.28985507246377,124.39275362318836,21.217391304347824,20.17826086956522,23.46376811594203,25.675362318840605,416.4188405797104,31.08840579710144,23.973913043478266,21.738115942028983,913.5927536231894,1637.6811594202895,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
4,4,2020-01-05,44.46298314492755,-89.66171804782606,289.453768115942,27.80579710144929,23.72463768115942,1034.9014492753622,21.536231884057976,6353.3086956521765,8.434782608695652,979.0507246376816,21.231884057971016,124.09855072463765,21.18840579710145,22.28550724637681,23.30434782608696,32.64927536231883,140.01594202898548,35.46521739130435,23.06231884057971,26.08826086956521,913.5347826086966,8376.95652173913,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
5,5,2020-01-06,44.46298314492755,-89.66171804782606,289.453768115942,29.017391304347814,23.7536231884058,1031.5695652173913,21.52173913043478,6354.305797101454,9.608695652173912,981.8652173913047,21.246376811594203,124.75072463768116,21.17391304347826,23.79275362318841,23.347826086956523,30.969565217391285,152.9405797101449,36.85217391304347,21.55942028985507,1.455507246376812,913.5449275362328,159.42028985507247,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
6,6,2020-01-07,44.46298314492755,-89.66171804782606,289.453768115942,29.524637681159426,23.82608695652174,1032.2753623188403,21.55072463768116,6353.357971014496,9.217391304347826,979.7753623188407,21.26086956521739,124.69275362318837,21.20289855072464,23.16811594202899,23.420289855072465,31.153623188405792,137.6246376811594,34.60434782608695,22.840579710144933,24.63550724637681,913.5057971014502,739.1304347826087,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
7,7,2020-01-08,44.46298314492755,-89.66171804782606,289.453768115942,11.095652173913043,23.92753623188406,1013.8536231884057,21.55072463768116,6358.0362318840625,9.492753623188406,873.453623188406,21.26086956521739,124.62028985507249,21.20289855072464,22.55507246376811,23.52173913043478,30.833333333333325,137.37391304347827,24.56811594202899,1.9927536231884064,8.694927536231885,913.5057971014502,115.94202898550724,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
8,8,2020-01-09,44.46298314492755,-89.66171804782606,289.453768115942,25.28695652173913,24.0,1029.7463768115942,21.56521739130435,6355.275362318846,9.07246376811594,982.7057971014493,21.159420289855074,124.42898550724637,21.217391304347824,24.36231884057971,23.53623188405797,30.31304347826087,164.4521739130434,39.39855072463768,12.008695652173914,31.882753623188407,913.4666666666676,5913.04347826087,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
9,9,2020-01-10,44.46298314492755,-89.66171804782606,289.453768115942,30.81449275362319,23.971014492753625,1036.4826086956523,21.56521739130435,6354.876811594207,8.797101449275363,982.96231884058,21.318840579710145,124.46811594202896,21.217391304347824,20.81159420289855,23.59420289855073,27.086956521739143,417.6942028985509,40.07391304347825,23.14492753623189,15.947391304347825,927.9057971014504,1057.9710144927535,3428,3313,3341,87.0,3252,61.0,4696454.0,6741,77,2020-03-25,108.0497,5851754,54158,0,Democratic,Both,WI,Midwest,East North Central,,,,,,,,,,,,,,,,,,,,,,,
